"SRR5865065"	"SRR5865066"	"SRR5865067"	"SRR5865068"	"SRR5865069"	"SRR5865070"	"SRR5865071"	"SRR5865072"	"SRR5865073"	"SRR5865074"	"SRR5865075"	"SRR5865076"	"SRR5865077"	"SRR5865078"	"SRR5865079"	"SRR5865080"	"SRR5865081"	"SRR5865082"	"SRR5865083"	"SRR5865084"	"SRR5865085"	"SRR5865086"	"SRR5865087"	"SRR5865088"	"SRR5865089"	"SRR5865090"	"SRR5865091"	"SRR5865092"	"SRR5865093"	"SRR5865094"	"SRR5865095"	"SRR5865096"	"SRR5865097"	"SRR5865098"	"SRR5865099"	"SRR5865100"	"SRR5865101"	"SRR5865102"	"SRR5865103"	"SRR5865104"	"SRR5865105"	"SRR5865106"	"SRR5865107"	"SRR5865108"	"SRR5865109"	"SRR5865110"	"SRR5865111"	"SRR5865112"	"SRR5865113"	"SRR5865114"	"SRR5865115"	"SRR5865116"	"SRR5865117"	"SRR5865118"	"SRR5865119"	"SRR5865120"	"SRR5865121"	"SRR5865122"	"SRR5865123"	"SRR5865124"	"SRR5865125"	"SRR5865126"	"SRR5865127"	"SRR5865128"	"SRR5865129"	"SRR5865130"	"SRR5865131"	"SRR5865132"	"SRR5865133"	"SRR5865134"	"SRR5865135"
"Abiotrophia"	0.276575015548725	1.29447180208348	0	0.677418982504135	1.8693406037755	0.584493910731063	1.77646911829159	1.49394955874951	0.927801729027152	0	0.444180402544268	0.537611469692641	0.659149082508983	0.659143927677068	0.736585597479053	0.995841407262024	1.52564602928576	1.23119203052004	0.659143927677068	0.95489741236938	1.23888215871946	1.17247081993077	0.802284316893089	0.659147364221062	0	1.01133437771553	1.28852965711616	0.276563613199555	0	0.988086210178568	0	0.80227875577735	1.53208231288726	1.46097154482137	1.19590924315876	1.43107413966099	0.444201542362456	0.766281881411327	0.736585597479053	0.954809387506094	0	1.12924721311786	1.1292614737342	0.564820142618568	0	0.444173356423646	0.276567759395911	0.736585597479053	1.34969091996973	1.69875380829812	0.564828148627535	1.9092452296032	0.80227875577735	0.859332162539312	0.616964935422856	1.60226650484473	0	1.16342859409655	0	0.884333668826825	0.659130181925698	0	0.759499452378518	1.83111360987265	1.26190167447842	1.05911728603777	1.82689830899593	1.44122410936661	0.950244715059417	1.15751368407869	1.14745245713956
"Acetanaerobacterium"	1.09955653921904	0.659150800807519	0	1.27531633370865	0.859335955363755	0.461542417257513	0	1.08163291397285	0	0.99584338574797	0	0	0.564837756178976	0	0	1.03322956803563	0.807832667573368	0.444202951761345	0	0	0.545656013120051	1.29931334221184	1.50740535327683	0.276571905720761	0	0	0	0	0	0	0	0.444188858209394	0	0.589582618183562	0	1.06554237214168	0	0	0	0	0	0.276564649736598	0	0.444180402544268	0	0	0	0.276570869127502	0.659143927677068	0.276566722834776	0.276566722834776	0	0.276567759395911	0	0	0	0	0.539964351244027	0.911878426525796	0	1.18318284594978	0.695322885519696	0	0	0	0.490189575505906	0	0	0	0	0
"Acetatifactor"	0	0	0	0	0.95492871547197	0	1.09952615448582	0.701110409360336	0	0	0	0	0	0	0.276570869127502	0.736583800426939	0.569631447869878	0	0	0	0	0	0.276570869127502	0	0	0.485545374984629	0.583853235461655	0	0	0	0	0	0.747403946107495	0.939414649912157	0	0	0	0	0	0.954809387506094	0	0	0.276571905720761	0	0	0	0	0	0.444191676842108	0.659138772940692	0	0.995839428787114	0.444188858209394	0.564829749860298	0	0.546216383246999	0	0.672155684513966	0	0.80136805467351	0	0	0	0.659126745594003	0.499633200619711	0	0	0.694052793971384	0.69537364949807	0	0.72815781742647
"Acidaminococcus"	0.564840958778716	3.1821473212107	0.659126745594003	0.821965951473562	1.15706529707978	0.758588791615898	0.859316991679049	1.36428578488858	0.987359722206323	1.45643763468424	2.36310782130703	0.980876930632253	3.42254661433749	2.57608601866724	1.58433051534654	1.34969091996973	1.38118199697407	3.43124054259039	0.444191676842108	0.659116436853658	0.931379691882068	0.546889651517599	2.52379527277333	3.58532090556308	1.06828433541644	3.23450384961687	1.03843002956593	0.859324577021681	0.564829749860298	1.31473405054914	1.03643533159626	0.80227875577735	3.06323444714627	3.76482533593953	0.770860518701775	0.52659771035063	1.09956059070517	1.19074387132476	3.67855320146848	2.18784080900188	3.63163534427403	1.0332195841344	1.66665311230344	0.85932078432849	1.22274432091044	2.33182955111259	0.444188858209394	1.91398963987854	2.22406128412044	4.08036851167744	0.736578409335254	0.564831351103386	0.444188858209394	0.564829749860298	1.01782551721588	2.79433957027721	3.65561254073721	0.98384241768722	3.78461782217289	1.06665983702314	1.06763648724404	1.17183329825063	3.04283915939831	0.564816940287243	0.627305620144092	0	1.34558333643284	0.694052793971384	3.52889191642824	0.971156452574898	0.629479923371736
"Acinetobacter"	0.276575015548725	0	0	0.879462632355599	0.276569832542274	0	0.564816940287243	0.956620087381984	0	0	0	0	0	0	1.27437711161646	0	0.807832667573368	1.44271783736336	0.859335955363755	0.44416912886777	0	0.546889651517599	0.276570869127502	0	1.43396240313728	0	0	0	0	0	0	0	0	0	0	0	1.34970563630163	0	0	0	0	0	0.802286170620083	0	0	1.34966359108578	0	0	0	0	0	0	0.444188858209394	0	0	0	0	0	0	0	0	0	1.48676430215369	0	0	0	0	0.47302745540788	0	0	0
"Actinomyces"	1.12926758559327	0.995849321272038	0.859316991679049	1.17875473533115	1.38295714274871	0	1.88471682483244	1.14861145258426	0.8587580545266	1.12925943647003	0.444180402544268	0.921429104734613	1.31366988553974	0.802282463176968	1.03323156484904	1.23117545872632	0.569631447869878	1.88475592006703	1.55301280503731	0.276553248270784	0	0	0.909759093729384	1.27437919529927	1.48755679748388	0	0	1.63195920112086	1.20784539835431	0.936424661227922	0	1.06764856096493	1.66257849072811	1.61714718123974	1.08009447640567	0.757699626552802	1.7139825292437	0	1.39868317717009	1.34956270072608	0	1.09953628245322	0.859339748231949	0	0.490446768706856	0.444173356423646	0.276567759395911	0.954930672009496	1.31366360413239	1.06764654865044	1.18319312731909	1.42851551841747	0.995837450323242	1.49520675378679	0	0.780656614824399	0	0	0	0	0.85932078432849	0.695322885519696	0.528130335985296	1.25329138041154	0.499633200619711	0.490189575505906	0	1.63743828044379	0.598689283271137	0	0.501578631466014
"Akkermansia"	2.92373798085668	3.18518768361754	1.75661161021027	3.78090253009397	3.86136930662752	1.90612099099856	1.93242496090584	1.60466720708671	0.8587580545266	2.58321424656198	4.42930839398598	2.10827490277644	1.29446971308989	1.38295714274871	4.35009261929905	4.53556628412429	1.7204223915215	1.29448015816908	3.60668700219262	1.63193770925331	1.74056518333524	3.25552032718192	3.26812796468448	1.36664668271353	1.372810596267	2.83603130270493	3.48422282437224	3.62831781162817	4.1109267621795	2.11313648605827	2.09303898426431	3.44683816544317	1.89778252848838	3.6211762888503	2.97283767197651	3.70031648786874	1.68301634753259	1.51762309738408	4.49147682899608	4.21288741563792	1.55051322495498	2.71312848711844	2.27825408667432	3.21160720217695	1.81887065169348	1.27434794122458	2.10532445403271	1.44270298820448	1.60401737055009	1.46974269882225	3.1210826824156	2.23769419453853	1.6135326575266	3.91070954474941	1.62133846279639	2.32727297152168	2.92598713479356	3.00908494524808	2.68852713114149	1.26294469634909	3.80458291435881	3.19244393844539	2.06495731038482	1.81365172904567	1.93603351534985	1.85168690753575	3.05426711768849	3.68333245400063	2.87172373967012	1.83161012310575	3.78645898378291
"Alistipes"	3.30948919008845	2.67400481607976	3.62821799530757	2.9428015033392	2.4269186653389	2.1468424756895	2.09299649572461	3.31969067846197	1.26543774401926	2.98789313584481	3.56619522853528	1.28696440858938	3.11845421537343	2.6354712504469	3.13689491098597	3.81289006544232	2.31623724527232	3.35602777295179	3.30317460981357	1.25327891416664	2.72320306554016	3.41950121056797	3.48404408791542	2.76061061412056	3.08505703512434	3.3739203159221	3.25397451407033	3.66503479146625	0.859332162539312	1.55530747371497	4.27889708745084	3.39022861386138	3.89220550148245	3.5105307271044	2.8369669653235	3.23147010193984	2.6227690602136	2.93561132782323	3.07449180394442	3.38709675340381	1.97938295210911	1.97541802410808	2.15407747794787	2.33184050260162	2.22111316342647	1.74977893082259	3.49220677438946	2.90536848483362	3.03352422068953	3.64685285207201	3.34303407119884	2.48125319364859	3.32839849109263	3.70929211759122	2.47606019081507	2.13251125949084	3.26300325637641	2.83215627089475	3.26866135503407	3.62838159240136	1.34967410197243	2.34180993528938	3.44343074373606	2.0182397842437	3.05821057615583	3.26692941317532	3.31862320739691	2.56440434222575	2.60510540717451	3.01661239016696	3.52047669428324
"Allisonella"	2.20519949502791	1.85877207883508	0	1.84832396971629	0.444191676842108	2.17522748710505	0.444177584066895	2.26511038517041	0.675246928030882	1.73582622105753	1.2743583589715	0	1.79548638104181	2.55072614088453	2.6723566625994	0	1.59073942980597	3.06959291268369	1.88975221578117	0	1.13239113362541	0.932901784749991	2.018263758893	2.52379746686617	0	0	0	0.444183221060475	0.276567759395911	0.630786378243509	0	0.276567759395911	1.4954518095838	2.52240790316724	0	1.6726426959524	1.69096733724948	2.76605871893787	0	2.01812864667583	1.80816169751255	2.49998721834525	2.44394954429174	3.09140356300859	2.72480772654744	2.56985499213497	0	1.87966848725722	2.18038242142346	2.10227720638686	0.276566722834776	0	0.276567759395911	0	0.756597602086536	0.679067472483709	1.86385543899411	0	1.0425343019977	2.81813245803291	0.276561540149561	2.12900893635412	0	3.0632476685349	1.31040591879871	0	0.561707853033675	0.47302745540788	1.73594481118853	0.779196371013821	0.501578631466014
"Alloprevotella"	0.85934543761628	0.444197314224048	1.12923702729601	2.75968700675701	1.46974907693084	3.46764643755304	1.36662141052987	0.847390928211126	1.2024015109468	3.60831233415202	0.736569424397958	0.770609185679275	0.564837756178976	3.83408184931309	1.0676545979748	1.33205074005265	1.80195645591811	3.70802824489272	0.859335955363755	0.909726289006455	1.29767642400183	0.679811164460447	2.78220904342122	0.802286170620083	0.7601762197692	1.01133437771553	1.03843002956593	1.86932757837837	1.4426966244463	3.68722129833725	0.731504669778753	0.276567759395911	3.74959086915746	1.38190375801361	0.66978966734941	2.55917141307035	3.57444503633985	3.78726052697303	2.9087216718666	1.94566113166351	3.7882775075181	1.15705506030268	0.802286170620083	0.736569424397958	4.07989169301219	0.909732077844601	0.564829749860298	3.58411124747738	3.96632366160307	1.18319312731909	1.8423918007556	1.69095009033527	0.564829749860298	0.276567759395911	0.616964935422856	1.37394513259261	3.61571991028686	0.855380410599356	0	1.34865374231359	0.659130181925698	0.474084119939833	1.02100486599008	3.29322711110761	3.40458390229154	1.13193506763727	2.07928581831047	0.694052793971384	1.14195090734218	2.60258627129662	1.03270213104171
