"Sample1"	"Sample10"	"Sample11"	"Sample12"	"Sample13"	"Sample14"	"Sample15"	"Sample16"	"Sample17"	"Sample18"	"Sample19"	"Sample2"	"Sample20"	"Sample21"	"Sample22"	"Sample23"	"Sample24"	"Sample25"	"Sample26"	"Sample27"	"Sample28"	"Sample29"	"Sample3"	"Sample30"	"Sample31"	"Sample32"	"Sample33"	"Sample34"	"Sample35"	"Sample36"	"Sample37"	"Sample38"	"Sample39"	"Sample4"	"Sample40"	"Sample41"	"Sample42"	"Sample43"	"Sample44"	"Sample45"	"Sample46"	"Sample47"	"Sample48"	"Sample49"	"Sample5"	"Sample50"	"Sample51"	"Sample52"	"Sample53"	"Sample54"	"Sample55"	"Sample56"	"Sample57"	"Sample58"	"Sample59"	"Sample6"	"Sample60"	"Sample61"	"Sample7"	"Sample8"	"Sample9"
"Actinomyces"	1.58433769022926	1.78427168076495	1.86780035664147	1.02543577394482	2.7771395027309	1.35023652189701	0.72679800582287	1.74486891060139	1.78366058804865	1.76710369502553	1.45817162274443	0.586182698939635	2.09342241699533	0.652348100369894	1.14588705537697	2.15209576750868	1.02233095001463	1.7897828962439	2.37563766629267	2.45523802353753	1.71126474508193	2.3374332644627	1.66547320344065	1.70711613891063	1.71688540656222	2.19809772407621	1.53032625669245	1.30354057871841	2.72456564663677	0.967192729879571	1.81796541544004	2.91192171715887	2.51996021007562	1.32451907497417	1.36724534905959	0	2.53735180623545	0.810194028451207	1.92489553922672	1.35404329267745	1.62010811036311	0.899196218954881	1.7958071413716	1.62019326959937	0.799172653286427	2.18594484695837	1.66316949056024	1.65839166738586	1.49533317468803	0.649743441353474	1.93611287475014	2.13122142867145	0.985021722544723	2.0136537685201	1.27218244040748	0.436512232717047	0.899218006665788	1.92058698135276	1.83054675877039	0.79223677224752	1.23567168422544
"Akkermansia"	2.97918327700136	3.33598441000421	3.77770836337814	1.76803860725746	0.918441975480089	2.0188272217305	3.72344394466888	3.65582467717235	3.79902918821766	1.8719419475517	2.27639402189423	1.0943181444543	3.58354594012554	1.47845251721788	3.35856343621423	0.689123960957628	1.2198642035463	0.726777749494783	3.88699118263636	1.24848984764118	2.64469625819351	3.66742031382465	3.06036724852537	2.0745660620284	2.339284175523	3.4145465092592	1.45808739510171	1.94638940869971	0.436599189377403	2.69262570545307	0.903151879866838	0.966007065065574	0.953581362907391	3.9053668007094	0.925897436381463	0.436480621411524	2.57560638738137	2.82980870175602	0.436425313554091	0.806122462371396	0.726686613106307	0.436504329425871	1.14584075483438	3.09776990552837	2.13381952993878	0.899228901049471	0.436551753821753	1.0137762984385	3.12669047098522	0.436496426444572	1.31286604582919	0.436575470204343	3.563923877622	3.52166517778666	0.547856978056528	1.83052219415825	0.899218006665788	0.436543848980903	3.62388506916682	2.97075093834262	3.60296054353505
"Alistipes"	3.03446164461758	0	1.66313290081341	0	0	1.60457428081724	3.10348846157793	2.69742688968247	2.26833224760052	0.9270002226704	1.99891064682177	2.46449138158973	0.436543848980903	1.2926756480118	1.57261902054352	0	2.79682368505173	2.09338531760274	2.33758323736393	2.46778364977011	1.80648277788679	2.50344613359581	3.14690156608812	0.659690165846847	0.270957871996563	0	0.649743441353474	2.04231559928485	2.24978527844833	2.5928889130653	0.559359233225852	0	2.04891143680055	2.19306013623174	1.36724534905959	2.39259836294894	0	2.87571241313348	0.436425313554091	1.61798157656679	0	2.02800593404167	0.899185325627615	1.17193666100513	2.06363569563954	2.57523691317604	2.05541295822185	1.65839166738586	0.55580020389025	2.3269828738593	0	2.54528787010203	0	0	0	2.96047194662963	1.6378906065787	1.75156171842382	2.33580095249609	2.73016716314601	2.5273947423758
"Anaerococcus"	0	0	0	0	0.592747375367583	0	0.649791811073283	0	0.649791811073283	0	0	0	0	0	0	0	0	0	0.270969446163473	0	0	0	0	0	1.28307886156666	0	0	0.810346818773497	0	0	0	0.612007212313729	0	0	0	0	0	0	0	0.447114213661607	0.270888448422343	0	0	0.726757494547729	0	0	0	0	0.436251587616452	0	0.801576427896946	0	0.944230550318698	0	0	1.32056752617453	0	0.84901322196857	0.649782136449526	1.08855690984725	1.03756462566731
"Anaerofustis"	0	1.01326885449087	1.08848820372263	0	0	0	0	0.985088783468878	0	0	0	0.586182698939635	0	0	0	0.834540091812336	0.556115083200851	0.436520136318118	0.270969446163473	0	1.0193944722539	0.833755240048018	0	1.1299049680527	0.84901322196857	0.563192646689935	0.270923155618735	0	0.270998386046686	0.453060412290782	0.730436043641202	1.31359177564501	0.443221575206951	0.657924346982835	0.817797799389756	0	0	0.502941822837347	0	0	0	0	0.556079076535572	0	0.656262105000906	0.556115083200851	0	0	1.83011708453773	0.556079076535572	0.909022134177064	0	0.436512232717047	0.556079076535572	0	0.556097079207823	0	0	0	0.649840189291549	0.959176760683108
"Anaerostipes"	1.40243042854553	2.86639313737265	1.08848820372263	2.85952174477412	2.02508073427526	2.62147585968776	2.0779700814627	0.944296848802568	1.75154947196913	2.25495155595949	1.14592178452231	1.37751104222723	1.97565902844565	2.61096812644065	2.26219298552206	3.46434808785071	2.02804298230272	3.35888034100582	2.39272252291099	3.02301658800648	2.4413729015243	1.01331207449003	1.78516374402692	0	3.24706763044419	2.57280849347039	3.61680290972226	2.05294336257052	1.83065731723818	2.63924857731159	3.53249064588552	2.75276160658626	1.50593465709692	2.11771275885114	3.39107259355605	2.54940535710326	2.63056639338419	2.30749350847982	0.270871098266013	2.76716205187052	3.21921804705513	1.85218724362469	3.18309353785408	3.13487836714438	2.37910676929964	2.8791807858694	1.99512276692362	3.04016214942548	0.984653115140247	1.26294892888327	3.45245263920785	1.4170171622345	3.05156263511098	1.76461891519981	3.23631555067884	0.436512232717047	3.02859762019856	2.67093875462656	1.60180695850091	2.42924523634644	1.95919179900799
"Anaerotruncus"	0.605572091486107	0	1.2198642035463	0.763546704749285	0	1.41440463272505	1.92951526462823	1.05671359336107	1.5191508351622	0.622634023141293	0.89926158631368	1.05969542819924	0	0.961221149394402	1.41694521875065	0	1.26299607177537	0	0	0	1.25071033531358	0	1.12189250839618	0	0	1.66444160881877	0.726747367592038	0	0.849088147726503	0.747860985439279	0	0	0.735346432946542	1.56218434779712	0	0.436480621411524	0	1.14929998898829	0	0	0	0.270928941044005	0	0	1.64604523000164	0.556115083200851	0.270963658952437	0	0.943866135826003	1.38709312323262	0.658489520773912	1.8078039342846	1.49573122440223	1.80768120340898	0	1.55198604516805	0.270940512659735	1.11815824521341	1.97163730839483	1.05673634221654	1.07202119902044
"Atopobium"	0.702715237731851	0.80072657654743	0.985044074769901	0	1.14977727506078	0	0	0.849034627573976	1.14589863140268	0	0.89926158631368	0	0.726808134504851	0	0.792174035716103	1.4504866716067	0	0.649772462165687	0.944296848802568	0	0.491570097665523	0.833755240048018	1.12189250839618	0	0.270957871996563	0.800382982983532	0.556079076535572	0.810346818773497	1.55211934692134	0	0.795939434673321	1.59265395564991	1.68151700053163	0	0.925897436381463	0	1.63049854186034	0	1.79569676258847	0.447114213661607	1.05655439114576	0	0.556079076535572	0.436504329425871	0	0.848991817766122	0.556142091667203	0	0.791808322561009	0	0	1.79592981844595	0.270934726724333	1.26294892888327	0	0.436512232717047	0.270940512659735	0.556133088514817	0.944252648400283	0	0.447255801613673
"Bacteroides"	3.67935300094531	1.29270971157247	3.48783982848071	2.45008391844833	1.66449794854089	1.88022990078262	3.70343405806251	3.73053498926461	3.13327074484397	2.37149387245573	3.03075540865305	2.55046597300551	1.49577949929024	3.68198061310569	3.78824827156287	1.10256252275578	3.60206103194935	2.9462460828125	3.39479047172945	3.09284652898267	3.10926118990333	2.82015948599812	3.50705076374544	1.89044267826596	1.91604669756593	3.11471885859295	1.99882425520987	2.2836618927334	3.35387151094237	3.38877516725913	1.15005418314815	0.856447874818257	2.93268805017756	2.99408100317901	2.16958417069696	2.63225871210001	0.916631965296917	3.26783740450916	1.02218430578823	2.93149148414731	1.02221814144627	2.92840645577985	2.47555645787988	1.77105056974542	3.36058634879351	2.9293299863953	3.77956193601317	2.28237092811253	2.22975737387506	3.64093337299946	1.56288880133791	3.20440561366272	3.15797769124596	3.89659147976582	1.44046862032081	3.90926804290266	2.31987559846356	2.64531920080064	3.47138426388597	3.6850134801273	3.2993977292762
"Bifidobacterium"	1.04564613890912	1.9796960892187	1.99126453805891	3.69156088539487	1.70378466361863	3.63513648282408	0	1.77113636049217	0.944263697970934	3.29625251485315	0	2.81757934394266	0.270957871996563	0.522100850679751	2.37400098705134	2.13387462177892	1.40229870242366	3.39654329787752	2.43340096339027	3.01955935090186	3.12253964298037	1.20765618899911	2.08261790641516	3.330371042074	3.67138872446402	1.82891273195974	0	2.49078141584307	3.57959061095465	3.19181259079223	0	0.485974413398763	2.91850950877901	1.81213484232425	3.42359584268431	2.53097523880233	0.916631965296917	2.52942088269977	2.57105547368553	4.27594073163655	4.1909550641081	1.59225751048987	0.899185325627615	3.08373117408191	3.40428070650939	3.07150000519308	1.73803383662966	3.40744343095355	3.88051025274144	3.3356832548238	1.56288880133791	1.4170171622345	0.270934726724333	0.792132218333154	2.66424860023643	3.19263612158636	2.01369080393757	0	1.97163730839483	3.72704741776434	3.01134161700633
