"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"Achromobacter"	0	0.629065965894014	0	0	0.680267441433004	0	0	0.574543888254965	0.528153658913101	1.47094643055712	0	0.873204080258473	0	2.06757132108573	0	1.92772334501013	0	0	0	0	1.65460379208752	0	1.17827219972294	1.11240118351763	0.453162799376333	0	0
"Acidipila"	1.75142646281757	1.72514432789101	1.73431129114429	1.10100392422437	1.02007621100559	0.815990462267702	1.73505006195607	1.63583121426602	1.70633707394521	1.78540529669149	1.85620859679348	1.67394173980983	1.67157121381119	0.813976499952974	1.80297281058247	1.14214287734815	1.14218749280253	0.922059815210287	0.967390959775248	0.932820518867973	0.967410982568453	1.04586586849118	1.07288636073603	0.967350917627135	1.19622772199008	1.11241301616568	0.670117561620426
"Acidisphaera"	0	0.934438090470976	0.80098466553752	0	0	0	0.871370666182466	0.921433826016302	0.968913915333912	0.463160849520858	0.670120082387194	0.873204080258473	0.647942890416159	0	1.0084067484341	0.283173915377605	0	0	0.45320433062174	0	0	0	0	0	0	0	0
"Aciditerrimonas"	2.08854085445875	2.0884227237474	2.07882036601595	1.57739489215301	1.76221881593003	1.75175764026335	2.22144271402244	2.1858585798633	2.04686218835503	2.19120772932742	2.13706868904163	2.18073331412504	2.14960787239618	1.3962406672304	2.19168486060513	1.74947530573495	1.7124362624455	1.74240467864375	1.75661529670247	1.74216718481694	1.63653845122375	1.77702364285279	1.75817027986466	1.8448803320139	1.79661548604483	1.68031311033061	1.64565564722357
"Acidobacterium"	0.610536788665569	0.629065965894014	0.908406032296314	0	0	0	0.453166952127811	0	0	0	0.453214714728607	0.454539813384707	0.518138970897968	0	0	0.283173915377605	0	0	0	0	0	0	0	0	0	0	0
"Acidothermus"	0.854772414029027	0.80805679586765	0.908406032296314	0	0	0	0.747996079789173	0.813504788189529	0.659069593546179	0.682162847898795	1.08047982056606	0.454539813384707	0.747746065198743	0	0.814066041346643	0.814022624196176	0.283196947663274	0.453210561023668	0.45320433062174	0.546823765775494	0	0.28317545074266	0	0	0	0	0.670117561620426
"Acinetobacter"	0	0	0	0.467814953206538	0.680267441433004	0	0	0	0	0	1.28765002261313	0.873204080258473	0	0	0	0	0.283196947663274	0.670115040876243	0	0	0.453218868516473	0.28317545074266	0.807105945889023	0.453175257879458	0	0.453183563962708	0.453212637865772
"Acrocarpospora"	0	0.629065965894014	0	0.59157625417653	0.758651660221746	0.815990462267702	0	0	0.528153658913101	0	0	0	0	0	0.28319848328689	0	0.748009244175271	0.748051374059197	0.670107478779208	1.13390265319917	0.814117606895126	0.670039429051446	0.807105945889023	0.748006611252241	0.453162799376333	0.57503514334052	0.453212637865772
"Actinoallomurus"	2.13010719627349	2.14597157952253	2.2643149522957	1.81225233535541	1.76221881593003	1.6672566577955	2.17330377642858	2.08705298481049	2.08239169418086	1.99612873061243	2.15699560019589	2.1448851557548	2.21510274055366	1.34526398630799	2.10372772077535	1.76346624398424	1.76351349642965	1.80926124359834	1.82147118799982	1.78912007626432	1.77713081457115	1.82138594285798	1.82637711058925	1.74235116674154	1.82739117947252	1.72766230187217	1.88835541075282
"Actinocatenispora"	0	0	0	0.467814953206538	0.584550233400994	0.735357286514987	0	0	0	0	0	0	0	0	0	0	0.57502808504554	0.453210561023668	0.575058672419674	0	0.871440034327182	0	0	0.283195412056897	0.81404433203216	0.748017143081799	0.283223055609561
"Actinocorallia"	1.57916707149825	1.14695001341655	0.657941090621601	0.59157625417653	0.4615922536631	0.883971380679559	1.0804122147541	0.574543888254965	0.759526832912802	0.981045467139345	1.19630276483769	0.576571489741257	1.13463399525792	0.453110896976075	0.748011877121208	0.670036909007251	0.967353777628553	0.575065731572222	0.871420609782763	0.546823765775494	0.453218868516473	1.17001692474573	1.23656196194518	0.814060613879403	0.87136511735821	0.748017143081799	0.814109464411817
"Actinomadura"	1.17186637132082	1.41443016541821	1.0662435484761	1.02865221325901	0.882592051387994	1.27295257088775	1.42726115792109	1.32631835608519	1.43320533699237	1.18435743833227	1.28765002261313	1.11434381050504	1.69231974070657	0.66999407170959	1.30771980707472	0.574992796538591	1.08042691061228	1.04595338500738	0.967390959775248	1.27081745519192	1.0459650554723	1.45611268086918	0.985060573701503	1.30771371153981	1.2442980910714	1.1700677338904	1.266547637636
"Actinomycetospora"	1.61304789666312	1.88642330869703	1.93541819871447	0.467814953206538	0	0	1.74233857669921	1.55496659928045	1.67480880125355	1.44203078417134	1.58777952661722	1.49819998674009	1.35837166759065	1.08033286726906	1.49616844127115	1.14214287734815	0	0.283221519710072	0.283216912115071	0	0	0	0	0.283195412056897	0.283186198780651	0.283201554585841	0.453212637865772
"Actinopolymorpha"	0	0	0	1.10100392422437	0.978901953684013	1.08251379571905	0	0	0	0	0	0	0	0	0	0	1.08042691061228	1.26654460519358	1.17009762480223	1.27081745519192	1.0459650554723	1.22090656928462	1.23656196194518	1.14218451827415	1.0804063365753	1.11241301616568	1.00845301072119
"Actinospica"	1.17186637132082	0.87582849098833	1.31219744400029	0.833095751270267	0.882592051387994	0.815990462267702	0.922000550842543	1.00780877044576	1.24596810850784	0.760629480905122	0.922065459972275	0.969229243820257	1.23248949658466	0	1.0084067484341	0.871342922990393	0.748009244175271	0.670115040876243	1.00844144458693	0.992464124758667	0.748061907446582	0.670039429051446	0.807105945889023	0.748006611252241	0.67005706999293	0.57503514334052	0.748054007371675
"Adhaeribacter"	0.749601963074498	0.629065965894014	0.994456117869392	0.890834089285933	1.09229062066625	1.04072858969827	0	0	0.528153658913101	0	0.453214714728607	0	0.518138970897968	0	0	0	1.19624873250272	1.19629676086781	1.17009762480223	0.992464124758667	1.11246330911872	1.14214585154703	1.14590414387159	1.14218451827415	1.14216667159816	0.871392862408773	1.19629976284097
"Aeromicrobium"	1.45802668876905	1.17932384355474	1.0662435484761	1.32903526780011	1.45441884726126	1.12062918654347	0.747996079789173	0.452750014620272	0	0	0.575070437783878	0.671727880121935	0	0	0	0	1.36302757894708	1.77711820471427	1.56661970148772	1.72186600311421	1.50878474172091	1.48319074080947	1.51053467636378	1.63647268365887	1.62713142377257	1.67189424388583	1.54440559492206
"Afipia"	0	0	0	0.467814953206538	0.584550233400994	0	0	0	0	0	0	0	0	0	0	0.283173915377605	0.283196947663274	0	0	0	0	0.453148265398922	0.50043738885052	0.283195412056897	0.67005706999293	0	0
"Aggregicoccus"	1.01015248155654	1.17932384355474	1.18175940437308	0.941789257879727	0.978901953684013	0.942737311469428	1.00838940162315	1.2203285968854	1.39341139741225	1.4847129408403	1.28765002261313	1.34736879872554	1.05450519800804	0.453110896976075	1.24432227419351	0.747969752734746	1.08042691061228	0.814106750296934	0.814098608090942	0.78136456348349	0.922071104827576	1.08038576368959	0.807105945889023	0.922011838500547	1.14216667159816	0.967362357773126	0.967402401231014
"Agromyces"	0	0	0	0.687778270493033	0.584550233400994	0.735357286514987	0	0	0	0	0	0	0	0	0	0	0.453177334369182	0.87142893444808	0.74804347425923	0.863661700636481	0.670125123988489	0.871345697205068	0.726802828918447	0.453175257879458	0.453162799376333	0.871392862408773	0.748054007371675
"Alicyclobacillus"	1.2894339055183	1.59099805493107	1.54055473709931	1.02865221325901	1.09229062066625	1.18808906965412	1.60787002322785	1.50808322684976	1.56361159081985	1.34155485541086	1.53285375751276	1.4141036350223	1.68206937373077	0.74792500199775	1.59792460433117	1.17001393618446	0.871384538649661	1.00845011915246	1.04594463240517	0.679738392406774	1.08048569991986	0.967313739736669	0.874852301296962	0.670072191680433	1.11238343525112	1.00841253089188	0.814109464411817
"Allobacillus"	0.93937460319906	1.14695001341655	1.12783089470731	0.467814953206538	0.584550233400994	0.636260236779993	0.670062110465117	0.452750014620272	0.968913915333912	0.760629480905122	0.670120082387194	0.815843066644232	0.828845433427135	0.283147816808379	0.814066041346643	0.574992796538591	0	0.453210561023668	0.45320433062174	0	0	0	0.726802828918447	0.575025732324519	0	0	0
"Allocatelliglobosispora"	0	0	0	0.687778270493033	0.4615922536631	0.815990462267702	0	0	0	0	0	0	0	0	0	0	0	0.575065731572222	0	0.78136456348349	0.453218868516473	0	0.628204556950547	0.453175257879458	0	0	0.453212637865772
"Alsobacter"	1.9004242032356	1.96466335832716	1.93541819871447	1.02865221325901	0.758651660221746	0.50765178490444	1.98095289227802	2.02770196714885	1.90596434971228	1.75739909058048	2.02086539246114	1.92031094027947	1.9515335027958	1.24422252854151	1.75657750131042	1.59787461192027	0.453177334369182	1.04595338500738	0.74804347425923	1.13390265319917	1.00846168556799	0.921975154976244	0.50043738885052	0.922011838500547	0.747990814195065	0.670082273257022	1.266547637636
"Altererythrobacter"	0	0.501208169164372	0.657941090621601	0	0	0	0.747996079789173	0.669555994094877	0.841056901993644	0	1.49622120169089	0.923865242268346	0	0	1.26649912138878	0.283173915377605	0.57502808504554	0.453210561023668	1.14222616381356	0.78136456348349	0	0	0.628204556950547	0.453175257879458	0	0.670082273257022	0.814109464411817
"Aminobacter"	0	0	0	0	0.584550233400994	0.50765178490444	0	0	0	0	0	0	0	0	0	0	0.283196947663274	0	0	0.679738392406774	0.453218868516473	0	0	0.814060613879403	0.575011616460087	0	0.283223055609561
