"SRR5865065"	"SRR5865066"	"SRR5865067"	"SRR5865068"	"SRR5865069"	"SRR5865070"	"SRR5865071"	"SRR5865072"	"SRR5865073"	"SRR5865074"	"SRR5865075"	"SRR5865076"	"SRR5865077"	"SRR5865078"	"SRR5865079"	"SRR5865080"	"SRR5865081"	"SRR5865082"	"SRR5865083"	"SRR5865084"	"SRR5865085"	"SRR5865086"	"SRR5865087"	"SRR5865088"	"SRR5865089"	"SRR5865090"	"SRR5865091"	"SRR5865092"	"SRR5865093"	"SRR5865094"	"SRR5865095"	"SRR5865096"	"SRR5865097"	"SRR5865098"	"SRR5865099"	"SRR5865100"	"SRR5865101"	"SRR5865102"	"SRR5865103"	"SRR5865104"	"SRR5865105"	"SRR5865106"	"SRR5865107"	"SRR5865108"	"SRR5865109"	"SRR5865110"	"SRR5865111"	"SRR5865112"	"SRR5865113"	"SRR5865114"	"SRR5865115"	"SRR5865116"	"SRR5865117"	"SRR5865118"	"SRR5865119"	"SRR5865120"	"SRR5865121"	"SRR5865122"	"SRR5865123"	"SRR5865124"	"SRR5865125"	"SRR5865126"	"SRR5865127"	"SRR5865128"	"SRR5865129"	"SRR5865130"	"SRR5865131"	"SRR5865132"	"SRR5865133"	"SRR5865134"	"SRR5865135"
"Abiotrophia"	1	21	0	4	82	3	66	30	6	0	2	2	4	4	5	10	24	18	4	9	13	11	6	4	0	9	13	1	0	8	0	6	36	29	12	22	2	5	5	9	0	14	14	3	0	2	1	5	24	55	3	90	6	7	2	31	0	11	0	5	4	0	4	75	16	10	50	27	8	8	12
"Acetanaerobacterium"	13	4	0	19	7	2	0	11	0	10	0	0	3	0	0	11	4	2	0	0	2	15	35	1	0	0	0	0	0	0	0	2	0	3	0	9	0	0	0	0	0	1	0	2	0	0	0	1	4	1	1	0	1	0	0	0	0	2	5	0	16	4	0	0	0	2	0	0	0	0	0
"Acetatifactor"	0	0	0	0	9	0	13	4	0	0	0	0	0	0	1	5	2	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	5	8	0	0	0	0	0	9	0	0	1	0	0	0	0	0	2	4	0	10	2	3	0	2	0	3	0	4	0	0	0	4	2	0	0	4	4	0	4
"Acidaminococcus"	3	1707	4	6	15	5	7	22	7	31	258	7	2970	422	42	24	17	3030	2	4	6	2	374	4321	9	1666	7	7	3	18	9	6	1259	6046	4	2	13	15	5356	172	3720	11	51	7	15	240	2	91	187	13512	5	3	2	3	6	494	3577	7	4250	8	12	14	929	3	3	0	16	4	3414	5	3
"Acinetobacter"	1	0	0	7	1	0	3	8	0	0	0	0	0	0	20	0	4	30	7	2	0	2	1	0	22	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	6	0	0	24	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	25	0	0	0	0	2	0	0	0
"Actinomyces"	14	10	7	15	26	0	85	13	5	14	2	6	22	6	11	18	2	85	39	1	0	0	8	20	25	0	0	47	17	7	0	12	49	42	9	4	57	0	27	24	0	13	7	0	2	2	1	9	22	12	16	29	10	34	0	4	0	0	0	0	7	4	2	19	2	2	0	43	3	0	2
"Akkermansia"	941	1719	63	6426	8160	84	95	39	5	429	30178	104	21	26	25145	38542	38	21	4539	47	43	1427	2081	25	19	665	2150	4771	14497	118	112	3141	85	4343	766	4246	53	33	34821	18339	30	579	212	1827	62	20	142	30	44	32	1483	193	45	9142	26	168	666	827	340	13	7160	1573	97	72	79	67	856	4891	751	40	5626
"Alistipes"	2289	529	4770	932	299	147	138	2074	14	1091	4135	15	1474	484	1538	7298	152	2548	2256	19	420	2082	3422	646	1022	2297	1265	5192	7	32	17321	2757	8498	3366	560	1442	470	890	1332	2738	82	105	159	240	158	62	3487	902	1212	4979	2473	339	2391	5749	190	107	1448	550	1295	3189	24	221	2338	116	1058	1767	1574	371	406	621	3049
"Allisonella"	179	80	0	74	2	157	2	182	3	60	20	0	69	398	527	0	28	1317	86	0	10	6	116	374	0	0	0	2	1	3	0	1	33	345	0	39	54	602	0	116	55	354	311	1385	506	416	0	84	169	141	1	0	1	0	3	3	57	0	7	493	1	135	0	1298	18	0	2	2	54	3	2
"Alloprevotella"	7	2	14	611	32	3098	25	6	12	4556	5	4	3	7663	12	23	46	5732	7	8	15	3	679	6	4	9	7	82	30	4459	4	1	6119	24	3	306	4214	6331	909	98	5336	15	6	5	11482	8	3	4309	10391	16	77	54	3	1	2	18	3263	5	0	16	4	2	8	2205	2350	12	90	4	13	239	9
"Anaeroglobus"	21	0	0	0	0	0	0	0	0	0	0	2	0	2	0	52	0	3	2	0	3	0	2	1	0	0	9	6	23	3	0	2	3	37	2	0	0	0	33	6	0	5	18	14	0	0	0	19	1	0	4	3	0	37	0	0	0	0	0	0	1	2	4	0	0	0	0	0	2	0	0
"Anaeroplasma"	0	1	0	0	15	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	0	2	12	0	0	2	3	4	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	4	1	0	0	3	0	2	0	0	0	0	2	7	6	0	4	0	0	0	0
"Anaerostipes"	80	85	1788	19	8320	387	10553	150	329	73	114	719	41	43	591	223	933	26	45	309	123	35	33	39	1125	26	1730	109	347	37	517	14	17	232	192	198	141	157	26	1114	15	73	272	136	227	49	383	10	15	2304	672	468	1026	46	1484	2056	83	137	93	218	235	280	317	2204	935	524	294	2417	42	19	1589
"Anaerotruncus"	31	70	8	41	1	5	0	68	0	13	439	0	0	0	129	77	3	7	9	0	4	23	152	0	12	3	0	92	0	0	0	141	4	0	17	127	0	0	224	124	2	0	0	0	0	6	6	2	2	0	11	0	0	67	0	11	6	16	8	0	48	54	0	0	9	4	24	5	11	6	6
"Atopobium"	6	0	4	0	1	2	66	3	0	6	2	0	0	9	4	9	2	92	12	1	0	15	8	7	2	0	3	84	8	4	0	2	13	11	4	0	2	0	9	50	0	5	7	0	5	2	0	9	10	0	8	50	2	4	7	0	0	3	0	0	7	5	0	2	3	0	0	23	0	0	0
"Bacteroides"	25362	22682	83978	29772	19721	3249	1749	12738	23321	15933	32250	34104	10320	11189	22866	35418	7193	4955	23342	112480	7286	21128	43495	4700	6966	14147	53399	73677	23833	23083	86692	24205	29875	24576	16152	41298	6684	10596	14527	41690	1553	4375	3864	26045	1482	3372	57626	49185	4148	20725	9784	8037	72179	74608	52312	41145	10206	17396	29180	48153	72020	65201	43951	2682	17624	49932	16874	8587	13090	7899	69675
