"Sample1"	"Sample10"	"Sample11"	"Sample12"	"Sample13"	"Sample14"	"Sample15"	"Sample16"	"Sample17"	"Sample18"	"Sample19"	"Sample2"	"Sample20"	"Sample21"	"Sample22"	"Sample23"	"Sample24"	"Sample25"	"Sample26"	"Sample27"	"Sample28"	"Sample29"	"Sample3"	"Sample30"	"Sample31"	"Sample32"	"Sample33"	"Sample34"	"Sample35"	"Sample36"	"Sample37"	"Sample38"	"Sample39"	"Sample4"	"Sample40"	"Sample41"	"Sample42"	"Sample43"	"Sample44"	"Sample45"	"Sample46"	"Sample47"	"Sample48"	"Sample49"	"Sample5"	"Sample50"	"Sample51"	"Sample52"	"Sample53"	"Sample54"	"Sample55"	"Sample56"	"Sample57"	"Sample58"	"Sample59"	"Sample6"	"Sample60"	"Sample61"	"Sample7"	"Sample8"	"Sample9"
"Actinomyces"	37	45	84	4	410	6	5	63	69	54	32	3	142	3	15	145	11	70	273	34	48	186	37	28	59	177	38	7	611	9	74	791	372	17	12	0	379	5	96	24	47	8	71	47	6	176	52	43	35	4	48	155	10	118	14	2	8	95	77	6	18
"Akkermansia"	942	1629	6919	24	5	29	6106	5225	7267	69	217	12	4424	25	2635	4	18	5	8898	2	419	3994	938	66	251	2931	32	32	2	535	8	8	9	6797	4	2	414	618	2	6	5	2	15	1445	153	8	2	9	1546	2	11	2	4229	3837	2	77	8	2	4855	1078	4451
"Alistipes"	1070	0	52	0	0	11	1464	574	213	7	114	305	2	16	42	0	722	142	250	35	60	273	1145	2	1	0	4	40	204	425	3	0	125	131	12	284	0	687	2	45	0	122	8	16	130	433	130	43	3	244	0	404	0	0	0	1053	49	64	249	619	373
"Anaerococcus"	0	0	0	0	2	0	4	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	21	0	0	2	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	5	0	0	0	0	2	0	3	0	9	0	0	23	0	7	4	13	11
"Anaerofustis"	0	7	13	0	0	0	0	10	0	0	0	3	0	0	0	6	3	2	1	0	9	5	0	7	7	3	1	0	1	2	5	19	2	3	3	0	0	2	0	0	0	0	3	0	4	3	0	0	77	3	4	0	2	3	0	3	0	0	0	4	9
"Anaerostipes"	24	552	13	301	72	117	137	9	64	168	15	24	108	350	210	2996	122	2637	284	126	262	8	49	0	2038	421	4777	41	77	473	3893	548	35	110	1324	408	470	185	1	649	1912	81	1759	1574	270	873	113	1058	10	20	1594	29	1299	66	1361	2	1232	540	45	309	100
"Anaerotruncus"	3	0	18	2	0	7	97	12	37	3	8	11	0	7	29	0	20	0	0	0	16	0	10	0	0	51	5	0	7	5	0	0	5	30	0	2	0	12	0	0	0	1	0	0	49	3	1	0	9	27	2	73	35	73	0	40	1	14	107	12	12
"Atopobium"	4	4	10	0	9	0	0	7	15	0	8	0	5	0	6	28	0	4	9	0	2	5	10	0	1	6	3	2	40	0	6	37	53	0	4	0	46	0	71	2	12	0	3	2	0	7	3	0	6	0	0	71	1	20	0	2	1	3	9	0	2
"Bacteroides"	4727	14	3549	117	31	21	5831	6206	1568	220	1238	372	35	4131	7089	12	4617	1019	2864	148	1223	567	2625	43	94	1469	114	70	2606	2662	15	6	964	833	79	494	8	1696	11	948	11	978	344	67	2597	980	6948	184	195	5050	20	1847	1660	9099	21	9368	240	509	3417	5588	2212
"Bifidobacterium"	10	71	112	2047	34	1210	0	67	9	1857	0	689	1	2	272	139	28	2876	312	125	1261	13	98	1199	5416	75	0	113	4383	1691	0	2	933	54	1427	391	8	309	429	20977	17925	44	8	1399	2872	1360	62	2466	8776	2500	20	29	1	6	364	1798	118	0	107	6156	1139
"Bilophila"	104	8	20	0	23	2	68	0	0	0	0	23	1	0	0	0	1	0	144	2	0	0	57	0	5	56	0	3	42	56	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	13	27	2	2	93	2	71	18	188	0	0	72	6	0	0	18
"Blautia"	595	2485	1862	1363	1039	486	718	571	1638	2027	850	3377	2746	914	479	3052	1815	1846	405	140	673	1519	899	4494	1375	1903	6539	224	1531	1294	7671	2905	495	171	1519	2173	5807	911	127	1182	3436	3431	3496	4554	799	1965	1259	1816	1465	433	3086	732	5098	350	3590	228	5189	4083	1089	1575	1742
"Butyricicoccus"	139	35	9	8	0	17	42	265	364	190	41	185	11	444	223	58	331	98	48	0	6	21	98	214	16	131	64	2	10	34	8	0	125	14	24	169	21	36	0	141	8	41	24	227	6	340	283	160	238	784	4	22	574	90	47	9	234	269	598	222	236
"Catabacter"	0	2	57	0	0	0	68	5	10	0	0	0	4	0	3	0	0	0	0	0	16	65	0	0	9	8	0	4	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	2	13	0	0	0	10	0	0	0	0	0	0	58	0	0	9	21	25
"Clostridium.IV"	9	11	1148	124	0	13	414	4	40	32	54	703	28	1476	124	200	981	381	78	162	340	127	99	13	1046	683	203	33	405	837	0	4	91	913	424	144	139	1132	0	9	37	503	4	35	786	234	1	41	660	1909	15	17	256	45	2	399	51	39	1170	205	349
"Clostridium.XVIII"	3	15	74	23	15	0	57	1	308	7	0	40	61	308	93	87	14	52	10	3	77	92	4	65	13	25	58	12	3	12	386	170	8	65	57	12	54	3	692	298	21	34	50	162	113	77	57	35	17	43	34	3	240	10	26	162	37	0	8	3	7
