"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"Achromobacter"	0	3	0	0	4	0	0	3	2	30	0	7	0	126	0	91	0	0	0	0	48	0	13	13	2	0	0
"Acidipila"	36	48	30	12	10	5	58	46	42	63	77	50	40	6	68	14	14	8	9	6	9	11	10	9	16	13	4
"Acidisphaera"	0	7	3	0	0	0	7	8	7	2	4	7	3	0	10	1	0	0	2	0	0	0	0	0	0	0	0
"Aciditerrimonas"	79	112	67	38	60	50	180	166	93	162	148	163	122	26	168	60	55	59	61	43	46	64	52	75	67	51	47
"Acidobacterium"	2	3	4	0	0	0	2	0	0	0	2	2	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Acidothermus"	4	5	4	0	0	0	5	6	3	4	12	2	4	0	6	6	1	2	2	2	0	1	0	0	0	0	4
"Acinetobacter"	0	0	0	2	4	0	0	0	0	0	20	7	0	0	0	0	1	4	0	0	2	1	5	2	0	2	2
"Acrocarpospora"	0	3	0	3	5	5	0	0	2	0	0	0	0	0	1	0	5	5	4	10	6	4	5	5	2	3	2
"Actinoallomurus"	87	128	103	66	60	41	161	132	101	103	155	150	142	23	137	62	62	69	71	48	64	71	61	59	72	57	83
"Actinocatenispora"	0	0	0	2	3	4	0	0	0	0	0	0	0	0	0	0	3	2	3	0	7	0	0	1	6	5	1
"Actinocorallia"	24	12	2	3	2	6	12	3	4	9	16	3	11	2	5	4	9	3	7	2	2	15	15	6	7	5	6
"Actinomadura"	9	23	6	10	7	16	28	22	22	15	20	13	42	4	21	3	12	11	9	14	11	30	8	21	18	15	19
"Actinomycetospora"	26	70	48	2	0	0	59	38	39	28	41	33	19	12	33	14	0	1	1	0	0	0	0	1	1	1	2
"Actinopolymorpha"	0	0	0	12	9	10	0	0	0	0	0	0	0	0	0	0	12	19	15	14	11	17	15	14	12	13	10
"Actinospica"	9	6	11	6	7	5	8	10	14	5	8	9	14	0	10	7	5	4	10	7	5	4	5	5	4	3	5
"Adhaeribacter"	3	3	5	7	12	9	0	0	2	0	2	0	2	0	0	0	16	16	15	7	13	14	12	14	14	7	16
"Aeromicrobium"	18	13	6	21	29	11	5	2	0	0	3	4	0	0	0	0	24	64	39	41	34	32	29	46	45	50	37
"Afipia"	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	2	1	4	0	0
