"C1.sm.bam"	"C2.sm.bam"	"C3.sm.bam"	"C4.sm.bam"	"C5.sm.bam"	"T1.sm.bam"	"T2.sm.bam"	"T3.sm.bam"	"T4.sm.bam"	"T5.sm.bam"
"Solyc00g005040.2"	0	0	0	0	0	0.354690153939281	0	0	0	0
"Solyc00g005050.2"	1.52456468243566	1.33534458318827	1.36476623276083	1.37351833411906	1.3916564636785	1.49572052168007	1.06816849128789	1.34894624725641	1.52028275801885	1.44578912077596
"Solyc00g005480.1"	0	0	0.522807552272921	0.43790869009435	0.289061541442611	0.680252775692172	1.06816849128789	0.496001395184529	0.403158760520572	0.420124669874008
"Solyc00g005860.1"	0	0	0	0	0	0	0.659584477855108	0	0	0
"Solyc00g006470.1"	2.94917440787401	2.92300816904003	2.94757714681076	2.92735202330537	2.92220439816884	3.4770389154009	4.16479220844365	3.1328281670181	3.5959791984003	3.1628800486104
"Solyc00g006480.1"	0	0	0	0	0.289061541442611	0.354690153939281	0	0	0	0
"Solyc00g006490.2"	1.24785669233351	1.29774280482883	1.0606049775925	1.17400111897192	1.23238126406396	1.27143286447384	0.444553051114546	0	0.852534344056924	0.876454132496305
"Solyc00g006680.1"	0	0	0	0	0	0	0	0	0.403158760520572	0
"Solyc00g006690.2"	2.28345468905252	2.29374375177963	2.32895748820615	2.26709058120477	2.26365429929643	2.8439749351749	3.41958158500945	2.39526052150965	2.94867170926928	2.5359455314705
"Solyc00g006800.2"	0	0.446406831483151	0.33573733910721	0.334587479824386	0	0.354690153939281	0	0	0.403158760520572	0
"Solyc00g006810.2"	1.22447442007773	0.912787498338794	0.753243908967735	1.10059976906735	1.05698078679445	1.27143286447384	0.659584477855108	0.869225109620574	0.608573690963013	1.03286600937205
"Solyc00g006830.2"	0.284997510764479	0.278200211277516	0.33573733910721	0.43790869009435	0.461088880463895	0.354690153939281	0	0	0	0.420124669874008
"Solyc00g007010.2"	2.56946524495076	2.59958898986512	2.47314223389393	2.59472929312751	2.55557318577185	2.61568446488093	1.90016624146982	2.273379537909	2.27343460563319	2.27920751165364
"Solyc00g007070.2"	1.72379030658712	1.61690720947055	1.70888740522844	1.77109677182029	1.6837833480384	1.8156739478135	1.56425295456398	1.74350225973975	1.57663323843135	1.71232737711238
"Solyc00g007080.2"	2.16619225797913	2.01420195992129	2.02995896384394	1.9360555472213	2.05148061137411	2.14198308133342	2.00372886337751	2.18316731273092	2.212729771893	2.19973799775169
"Solyc00g007090.2"	2.09467842274225	1.94035573157746	1.96368722512465	1.92120369898109	1.97161120795707	2.07818391327805	2.45413966279538	2.19809940435899	2.32037541958601	2.13732382766252
"Solyc00g007100.2"	3.60890141086592	3.7403293825328	3.68151637888705	3.67058942248431	3.68516833903557	3.583112750821	2.95326542424524	3.47454854223716	3.34361555193812	3.48246618423298
