"B61SET"	"B62SET"	"B63SET"	"B65SET"	"B66SET"	"GF1SET"	"GF2SET"	"GF3SET"	"GF4SET"	"GF5SET"
"ENSMUSG00000000001"	2314	2025	714	1523	1290	1173	1773	2237	1713	999
"ENSMUSG00000000028"	358	95	57	89	95	34	47	69	57	113
"ENSMUSG00000000031"	7	19	10	7	13	6	10	21	9	6
"ENSMUSG00000000037"	16	48	6	20	16	22	18	26	31	20
"ENSMUSG00000000049"	2	1	0	3	1	0	2	1	2	0
"ENSMUSG00000000056"	895	763	194	594	480	488	703	916	870	541
"ENSMUSG00000000058"	652	1264	333	789	733	733	1107	1389	1137	566
"ENSMUSG00000000078"	2305	3053	993	1919	2024	2067	3114	3999	3254	1812
"ENSMUSG00000000085"	591	1145	342	658	691	709	958	1314	1250	740
"ENSMUSG00000000088"	390	362	153	244	250	197	291	387	323	239
"ENSMUSG00000000093"	633	2115	691	1429	1345	1700	2391	3215	3031	1467
"ENSMUSG00000000094"	16	46	12	28	21	23	35	42	39	14
"ENSMUSG00000000120"	431	696	202	473	452	448	549	845	785	570
"ENSMUSG00000000125"	17	16	6	2	0	6	7	13	44	2
"ENSMUSG00000000126"	53	186	38	97	108	131	177	309	237	109
"ENSMUSG00000000127"	313	832	246	511	508	573	826	1018	951	498
"ENSMUSG00000000131"	2548	1952	717	1442	1358	1000	1573	1900	1799	1371
"ENSMUSG00000000134"	703	1095	396	706	634	546	701	1065	892	586
"ENSMUSG00000000142"	368	632	240	357	346	275	375	646	709	282
"ENSMUSG00000000148"	462	473	149	301	287	262	292	493	461	331
"ENSMUSG00000000149"	1326	2009	730	1321	1308	1228	1632	2322	2079	1203
"ENSMUSG00000000154"	20	20	11	23	7	8	52	22	37	8
"ENSMUSG00000000157"	12	15	42	21	21	17	40	37	24	12
"ENSMUSG00000000159"	11	6	16	9	5	5	17	14	12	7
"ENSMUSG00000000167"	17	23	1	10	11	13	25	23	30	15
"ENSMUSG00000000168"	705	991	293	635	622	570	897	1164	945	564
"ENSMUSG00000000171"	924	1132	346	744	692	593	845	1325	917	468
"ENSMUSG00000000182"	3	1	0	1	0	0	1	1	1	0
"ENSMUSG00000000183"	0	0	0	0	0	0	0	1	0	0
"ENSMUSG00000000184"	5976	7233	2454	4934	4744	3109	5216	6753	5985	3136
"ENSMUSG00000000194"	1429	1798	616	1250	1098	990	1486	1816	1808	1078
"ENSMUSG00000000197"	41	109	26	57	66	66	88	121	106	55
"ENSMUSG00000000202"	1	0	1	1	0	1	1	4	1	1
"ENSMUSG00000000204"	30	35	8	7	13	3	12	14	15	4
"ENSMUSG00000000214"	12	51	5	49	50	22	17	36	21	15
"ENSMUSG00000000216"	0	1	0	0	0	0	0	0	0	0
"ENSMUSG00000000223"	47	159	42	117	102	95	89	150	145	81
"ENSMUSG00000000244"	1252	280	118	271	225	100	145	177	168	393
"ENSMUSG00000000247"	2	1	0	0	1	1	1	0	0	2
"ENSMUSG00000000248"	218	48	31	62	53	7	12	9	15	35
