"C1.sm.bam"	"C2.sm.bam"	"C3.sm.bam"	"C4.sm.bam"	"C5.sm.bam"	"T1.sm.bam"	"T2.sm.bam"	"T3.sm.bam"	"T4.sm.bam"	"T5.sm.bam"
"Solyc00g005040.2"	0	0	0	0	0	1	0	0	0	0
"Solyc00g005050.2"	35	23	19	39	25	24	6	20	21	33
"Solyc00g005480.1"	0	0	2	3	1	3	6	2	1	2
"Solyc00g005860.1"	0	0	0	0	0	0	2	0	0	0
"Solyc00g006470.1"	958	932	759	1456	883	2374	8195	1272	2577	1783
"Solyc00g006480.1"	0	0	0	0	1	1	0	0	0	0
"Solyc00g006490.2"	18	21	9	24	17	14	1	0	4	8
"Solyc00g006680.1"	0	0	0	0	0	0	0	0	1	0
"Solyc00g006690.2"	206	218	182	317	193	552	1473	232	580	420
"Solyc00g006800.2"	0	2	1	2	0	1	0	0	1	0
"Solyc00g006810.2"	17	8	4	20	11	14	2	6	2	12
"Solyc00g006830.2"	1	1	1	3	2	1	0	0	0	2
"Solyc00g007010.2"	399	442	254	676	379	326	44	175	122	232
"Solyc00g007070.2"	56	45	43	100	50	51	20	51	24	62
"Solyc00g007080.2"	157	114	91	147	118	109	56	142	106	193
"Solyc00g007090.2"	133	96	78	142	98	94	159	147	136	167
"Solyc00g007100.2"	4380	6126	4117	8069	5121	3031	503	2795	1441	3723
"Solyc00g007110.2"	4	17	6	13	8	1	2	1	2	7
"Solyc00g007120.2"	23	26	9	30	19	21	2	7	2	14
"Solyc00g007140.1"	1	2	1	1	3	0	0	2	0	0
"Solyc00g007150.2"	0	2	0	4	3	0	1	2	0	0
"Solyc00g007170.1"	0	0	0	0	0	0	0	0	0	1
"Solyc00g007190.2"	5	1	5	8	5	2	1	3	3	6
"Solyc00g007200.2"	0	0	0	0	0	0	1	0	0	1
"Solyc00g007220.2"	0	0	0	0	0	0	0	0	3	0
"Solyc00g007260.2"	2	0	1	1	2	3	0	2	2	5
"Solyc00g007270.2"	1456	1458	1247	2523	1413	1258	853	2134	1295	3172
"Solyc00g007300.2"	2	0	1	4	4	1	1	2	1	2
"Solyc00g008570.2"	110	86	72	179	81	226	733	136	243	181
"Solyc00g008580.1"	69	64	50	103	65	144	589	90	155	120
"Solyc00g008680.2"	847	677	474	1182	711	474	87	325	215	385
"Solyc00g009020.2"	158	154	118	279	181	153	22	183	182	236
"Solyc00g009040.2"	280	350	228	377	230	236	45	149	91	194
"Solyc00g009050.1"	0	0	0	1	1	0	0	0	0	1
"Solyc00g009060.2"	0	0	0	1	0	0	0	0	0	0
"Solyc00g009070.1"	7	2	1	11	5	7	24	7	5	16
"Solyc00g009080.2"	0	2	3	0	2	3	1	1	2	4
"Solyc00g009100.2"	1	1	0	3	1	0	0	0	0	0
"Solyc00g009110.2"	84	97	60	159	89	57	6	62	25	62
"Solyc00g009120.2"	3	2	2	5	1	1	0	0	0	0
