"F1-10"	"F1-11"	"F1-12"	"F1-13"	"F1-14"	"F1-15"	"F1-16"	"F1-17"	"F1-18"	"F1-19"	"F1-20"	"F1-21"	"F1-22"	"F1-7"	"F1-8"	"F1-9"	"F3-10"	"F3-11"	"F3-12"	"F3-7"	"F3-8"	"F3-9"
"[Ruminococcus] gnavus"	6.06571404787855	5.82314677398832	5.91555173982942	5.98569394713398	5.45222503267371	4.95468817756597	5.00028688211442	5.23842608791413	5.04337173867338	4.13445940890506	4.81473297510805	4.49490325517413	4.73564329980656	6.38692415997508	5.6204293168482	5.8125064124849	5.9096155352892	5.59551484034567	6.14950323055604	6.31165388784732	6.41832470030092	6.0017876636425
"[Ruminococcus] torques"	3.73454979327582	3.60166199004393	3.69214309786938	3.46428065112133	3.0846965280128	3.40635315122015	3.68811544846393	3.70181365326808	3.71883759222077	2.88658263139073	3.45302007539243	3.47943346527541	3.44302687474988	3.58613090270165	3.73348777044421	3.15209404117057	3.87236591964256	3.46122093081451	4.08474092725081	3.60760606607508	3.55827633969009	3.99110695284758
"Enterocloster bolteae"	5.76474647672107	4.31932902130712	5.56114497466789	5.44997333100011	5.12084807740964	5.87678746227713	6.20238771284721	6.01470699775476	6.27287941012504	5.72434017061693	5.83976833307816	5.47306579041237	5.88587396410681	4.59651722988914	4.79143555651873	4.10311849608182	5.41993942725728	5.74899264047057	5.15065115040385	5.02268559512236	5.6623163399482	5.85444451423423
"Enterocloster clostridioformis"	4.1812949064482	4.05935244774084	4.8387625768939	4.4659581327478	4.01965713252888	4.1008345835346	4.43234716346544	4.39412006213147	4.33713936134952	4.79644841283089	4.40924004401022	4.46354970321465	4.41967917314254	3.81377613026657	4.15377309761894	4.61297182282265	5.00586128536804	4.09393432772886	4.5035166959675	4.83744157538648	4.07267147350172	4.39555142115085
"Blautia pseudococcoides"	5.50041762367743	4.4301265957559	5.3947614656144	5.07691901134282	4.86351119063618	5.55895164557612	5.97423778094823	5.83263568203888	5.76728878551275	5.38802826896464	5.77938187671953	5.78535330381376	6.07663135165145	4.66421739276782	4.8425227442853	3.7969191010098	5.42781919902031	5.17056384095721	5.41266745422546	5.45705370648133	5.88941088352519	5.36089901818551
"Blautia producta"	4.66248949567299	3.8926912761277	4.5828917949705	4.33060348958762	4.0739029069309	4.69188047994464	5.03366606786314	4.92481511014375	4.83830331286316	4.46592535371931	4.86068947176469	4.83899295613463	5.12139448522627	4.00384563229034	4.13781352506353	3.31741086801252	4.57877192820178	4.3203924474539	4.58251881015013	4.69486554780802	4.96810491945204	4.6434379006017
"Blautia sp. NBRC 113351"	4.87574039517003	3.62194623638686	4.64736331645169	4.53395136263581	4.13913844451443	5.26771449628398	5.29163780925495	5.65117159017035	5.29299596882555	4.76325806765311	4.68817477105353	4.93883346973738	5.09692283126077	3.65883461625563	4.44177795131653	3.18680587938023	4.69092796519726	4.5223899511356	4.61924866462738	4.64272274348307	4.86393023891403	4.63610117440994
"Blautia sp. SC05B48"	3.51192226664659	2.81259139133276	3.34695422628066	3.26355332666368	2.8751370829058	2.95911484233533	3.36497608494733	3.31494528879698	3.33462679397911	2.68502971796382	3.24109590390905	3.13250228574676	3.09540521821916	2.80083174448362	3.11591824268439	2.91399158599483	3.36382130067865	3.10766525292569	3.48816420963922	3.55565005880001	3.2112681809098	3.55112785566559
"Blautia massiliensis"	3.81903177920379	3.87494805712115	4.15578791271482	4.05588689456491	3.54762193412608	3.38542019388998	3.62868089095998	3.69144726774364	3.65002721432371	2.86917149818407	3.46462001878661	3.34142441497539	3.36972620508073	4.51324095513059	3.28618367083623	3.73149656658312	4.110614295089	3.88849349661765	4.41083324222172	4.50951245657034	4.5929176849071	3.79164929118483
"Blautia argi"	3.82839831505413	3.2162865682828	3.71076829592686	3.6693230130106	3.12988165257199	3.5682933771912	3.54772225312771	3.46577828931881	3.47678980310986	3.06658779240781	3.53245565335386	3.56843413733212	3.52000966747116	3.07880667993815	3.53050153179525	3.10787352331688	3.60617073421222	3.18626308887786	3.6631894119973	3.82547629014824	3.51568585373552	3.96892106414008
"Blautia obeum"	4.06250582522251	3.14413104516831	3.54447632016967	3.62512931419324	3.05080346247684	3.47396609431567	3.72172574042008	3.65606575060429	3.60953550214155	3.12097023850995	3.5988643733537	3.53624130671151	3.55529829796402	3.02875049819689	3.33055675063594	3.44560956646423	3.78725257540187	3.59290858762223	3.752837933168	3.67126052807336	3.48216046067531	3.82882882350055
