"F1-10"	"F1-11"	"F1-12"	"F1-13"	"F1-14"	"F1-15"	"F1-16"	"F1-17"	"F1-18"	"F1-19"	"F1-20"	"F1-21"	"F1-22"	"F1-7"	"F1-8"	"F1-9"	"F3-10"	"F3-11"	"F3-12"	"F3-7"	"F3-8"	"F3-9"
"[Ruminococcus] gnavus_species_00001"	2.44469138851076	2.22774556141381	2.29969467562567	2.40760553086588	1.88203275995425	1.32037115656168	1.40705183923275	1.81741832675664	1.44344433229597	0.611440270919075	1.34443820235238	1.13422896194115	1.24055232690803	2.7909983202243	2.01566668810865	2.22741888196799	2.36619486259153	1.99795602610161	2.62072721141336	2.77274268657205	2.81488540138716	2.35865821566547
"[Ruminococcus] gnavus_species_00002"	2.41562449762257	2.23476595222627	2.26874802561327	2.29913379239743	1.82440117713526	1.32037115656168	1.35802051598116	1.66349775050363	1.42765518116288	0.485469230274079	1.38534414715526	1.13422896194115	1.32314057636249	2.72533861210366	2.01155100598946	2.14705751874822	2.33102525396686	1.85426558475032	2.60989561358145	2.77274268657205	2.77485456429173	2.37427098101515
"Ruthenibacterium lactatiformans_species_00003"	1.34554448340585	1.12676084061939	1.84807090776264	1.88562200888664	1.61983480525334	2.77130617735749	2.40097245795729	2.52143691694466	1.83505330421096	2.40510976213869	1.84589359810472	1.13422896194115	2.04270997579762	1.2043492536662	2.31046135875679	1.45364317721651	2.1117410520402	2.52092619579062	2.21898184504089	2.29708475335455	1.87461413348508	2.52769997383832
"[Clostridium] innocuum_species_00004"	2.0592987163915	1.74868378781904	1.48079829620389	2.0295046972213	1.56415504022402	1.53654332208874	2.17870628765324	2.55826145573239	1.35804416510006	1.39216159698813	2.48245821988802	2.02431938233806	2.09022209118075	0.970255132709811	2.51985573189756	0.321567365254288	2.09313972505974	1.87330654592713	1.05252579534145	2.20072221724643	2.45073766153562	2.4124177027545
"Escherichia coli_species_00005"	0.756022312865539	1.51403982660908	0.919797997032128	1.27417223313818	1.58978650331154	0.21544843643125	0.571191823997456	0.837575578805467	0	0	0	0	0	1.2043492536662	0.836769736161516	1.65199478606242	0	0	0	0	0	0.426822204628032
"Blautia pseudococcoides_species_00006"	1.41625746402472	0.71010019360325	1.45372548196271	1.21692564397032	0.944479417449498	1.61767050044681	1.9033141616459	1.9308323216755	1.73658117383478	1.53060404463339	1.99666495487617	1.94492277215124	2.25425584114734	0.778355052813478	0.991251058950863	0.18989017546766	1.6472201794908	1.08688812012196	1.62472048824984	1.31637167510229	1.92512211589714	1.28760100516211
"Ruthenibacterium lactatiformans_species_00007"	1.27930381690143	1.1692625866018	1.84807090776264	1.82968224816407	1.58978650331154	2.75884978318431	2.41938397893659	2.51628233847927	1.83505330421096	2.4086125555272	1.85920645001216	1.32622526769379	2.00527910161053	0.884819242533842	2.29781250223775	1.45364317721651	2.05336152911391	2.49165498414755	2.31536693590185	2.3181696928158	1.83735221296405	2.47265185947679
"Akkermansia muciniphila_species_00008"	2.31945757101241	2.09654127978887	1.98262850979783	2.17492143937486	1.82440117713526	2.49396771763123	2.15451294364499	2.04436803647733	2.42591480743032	2.70616462924137	2.48453432903384	2.7115543293489	2.26727929957713	1.95928325713244	2.19850144768272	1.98910616440568	2.61609926603701	2.71607626506951	2.53853426620033	2.25157067106893	0.854927292005433	2.44226889689887
"Sellimonas intestinalis_species_00009"	1.85921452293316	1.2435139899286	1.34295709232803	1.35545771262203	1.04251592130181	1.56782526221603	2.23731854419222	2.32369078257804	2.16349179840577	1.21581401370056	1.42272667394988	1.62993295339255	1.52891986998635	1.41520849613371	0.92084323755966	0.8118597528297	2.22350341963958	1.69779322241294	2.0765848929332	2.11117643461247	2.36933134592802	0.637872287142182
"Sellimonas intestinalis_species_00010"	1.07813707772295	0.574401489315331	0.965107165363477	0.941481674991461	0.426741269089006	0.970797703282103	1.35802051598116	1.69895525882422	1.52774084069406	0.855801972308225	0.917855536637465	1.240751727229	1.10871833669158	0.637010226302034	0.172871424761271	0.321567365254288	1.56999155217971	1.11447454266889	1.05252579534145	1.60679262395606	1.75160329737803	0.426822204628032
"Blautia pseudococcoides_species_00011"	2.3307270359187	1.27636500167332	2.28962217134905	1.96166306191691	1.6691804145277	2.41791584499934	2.81087625702316	2.77584290046321	2.65033326529272	2.31559748188223	2.78743764812932	2.78487564471582	3.07221229987871	1.57619524946838	1.73080958071593	0.8118597528297	2.35246686148843	2.05671263581505	2.35656858286518	2.29708475335455	2.72323134141867	2.22580335521664
"Enterocloster bolteae_species_00012"	2.70184717361386	1.33543755654142	2.47172206131597	2.38604080870094	2.10540920980634	2.8079693595079	3.15009336439683	3.02100878992142	3.1978207562494	2.71227575368001	2.92578145950785	2.58226013176828	2.96693721863037	1.51434188818874	1.72684503449974	1.11612105059848	2.501520714294	2.7279529190943	2.31536693590185	2.07669441124498	2.62207852257426	2.83450986286639
"[Clostridium] innocuum_species_00013"	0.251311085495705	0	0	0.521376141066453	0.192327144105178	0	0	0	0	0	0.390110508206989	0	0.281287494682654	0	0.470657536047773	0	0	0.415327547058457	0	0	0.306790726833075	0.637872287142182
"Ruthenibacterium lactatiformans_species_00014"	1.20110921839986	1.12676084061939	1.66941973642293	1.74779813662252	1.54388717809545	2.65502680259346	2.21625495601616	2.45213959239235	1.6194895441881	2.17073971852302	1.64991879857678	1.20806364561637	1.8466152019105	0.778355052813478	2.11906343685545	1.29328408968044	2.01718147779765	2.36941747416823	2.19112795459277	1.95296728421984	1.70141152530683	2.32905776855191
"Akkermansia muciniphila_species_00015"	1.98851294391123	1.81756639849939	1.59546636733752	1.83462915373866	1.5507487673443	2.15321291233145	1.64942244832832	1.64462079836268	1.99182241833262	2.29569978767902	2.08562122051081	2.32329129175735	1.89456541631946	1.59499908832428	1.82292160694345	1.57685339145314	2.36956011529144	2.36941747416823	2.12941010675692	2.0392366246999	0.708150848846402	2.08413886078635
"Enterocloster bolteae_species_00016"	2.17350960545692	0.813340507396223	1.91574633795101	1.93905652188694	1.69435085378785	2.32433819777759	2.65127046076943	2.49502954372075	2.75733066326826	2.20550838875467	2.45563306716544	2.11728041581125	2.48989926476078	0.970255132709811	1.29178979574405	0.731379223988656	1.78284598806787	2.30376862339889	1.83159204977273	1.60679262395606	2.09771327422791	2.38337614040925
"Sellimonas intestinalis_species_00017"	0.525170258872016	0	0	0	0.325161740156214	0.466401056335378	0	0.837575578805467	0.599174307448189	0	0	0.354523823985483	0	0	0	0	0.448341422755319	0.415327547058457	0	1.31637167510229	0.964431569941098	0.426822204628032
"[Clostridium] innocuum_species_00018"	2.10704797121016	1.83539473060889	1.61516839777201	2.11477106119946	1.67942430146018	1.70291211953792	2.31263673856597	2.64540725694559	1.39424288540956	1.60321203189526	2.5922094189772	2.11728041581125	2.09022209118075	0.884819242533842	2.61868007167208	0.422470829076574	2.18934824193248	1.95769727745833	1.42674012776692	2.35749667937601	2.512469672954	2.50560473914634
"Akkermansia muciniphila_species_00019"	2.47763713713302	2.33945671032081	2.21170016877813	2.35004391674954	2.03554044825257	2.65130721512885	2.21625495601616	2.1526402582447	2.53648876928072	2.91770331841954	2.66700792693027	2.89754552672341	2.39429924498904	2.05203782703031	2.35486149165947	2.07921101478551	2.84879215440558	2.86377849799052	2.67590564744375	2.51370460365569	0.854927292005433	2.59168284004238
"Flavonifractor plautii_species_00020"	1.13157039234132	1.49533864755174	1.50628203465974	1.29169207047084	1.6691804145277	1.61767050044681	0.571191823997456	0.691953114584439	1.17249725979066	1.2421881971053	1.28311276933118	1.37509504510678	1.52891986998635	1.10288759165191	1.60855317049745	1.41875772605295	1.61032026103961	1.62997152707615	1.97113972567167	1.70154937002861	1.35335494628516	1.72287471098045
"Alistipes finegoldii_species_00021"	2.79300197091183	3.00196754261477	3.21586365209897	3.12506625272519	3.03169903511288	2.74149665413391	2.71046068807028	2.5239914441346	2.7404480990287	2.77959741516235	2.5620945926305	2.4371591526607	2.65862933857803	2.63973047996996	3.24915003674415	2.51350529396607	1.13524336086621	0.255528344528688	0.788367424649456	0	0.306790726833075	0.426822204628032
"Flavonifractor plautii_species_00022"	1.65209864488638	2.11983932090861	1.73988116545567	1.82968224816407	2.26683258421059	2.21008686048236	1.40705183923275	1.3533247158289	1.68642317658948	1.93659555657886	1.82748351314402	1.91263865391434	1.94228693709018	1.55654026097248	2.16931010527145	1.87209185495802	2.03924909812004	2.22639799953893	2.51187979948594	2.14312090308349	1.85013138997081	2.34575085983992
"[Ruminococcus] gnavus_species_00023"	3.00816100218521	2.79175587697153	2.8652764760497	2.91331290817205	2.38921307101262	1.91001352257711	1.76519755687838	2.2034530996	1.95997802433287	1.05273693917453	2.01840373796731	1.58955731923903	1.87390482054269	3.34614070992485	2.58688999593729	2.77766723350611	2.92414740851792	2.52509964492862	3.20839939209782	3.21160874221349	3.37861068607271	2.99229389722132
"[Ruminococcus] gnavus_species_00024"	2.72102659779338	2.47471934060939	2.54435645617654	2.60328193875991	2.13298748810412	1.46628211497494	1.30274068955294	1.9308323216755	1.69519552200269	0.708968490596744	1.52820951172726	1.35134718912649	1.60398909741277	3.06069034115773	2.29674161157085	2.48483472687958	2.62176274677572	2.26397162276157	2.82911633837204	3.01131459387888	3.09992730389174	2.69538189169418
"[Clostridium] innocuum_species_00025"	1.01719497242995	0.574401489315331	0.668095505677917	1.23685813884087	0.637772717145308	0.466401056335378	1.16517934730548	1.38950603305046	0.299108338427812	0.611440270919075	1.61301338099265	1.27115075759534	1.19250856085801	0	1.54077348542054	0	1.07356586473534	0.954754037665844	0	1.31637167510229	1.3331270791969	1.41628568859429
"[Ruminococcus] gnavus_species_00026"	2.89813540847047	2.64222554305876	2.77134689375586	2.79358084853177	2.32892902326945	1.74502945495372	1.83972344661104	2.1526402582447	1.83505330421096	1.12545983945002	1.85037671218719	1.62993295339255	1.75264909415634	3.27309124979427	2.45790962196978	2.68988281223349	2.80062523708325	2.43800677046486	3.07891909095343	3.24695696193185	3.2874420545321	2.87410175276779
"Alistipes finegoldii_species_00027"	2.73503164208079	2.93657788085546	3.15614630190352	3.09263514739091	3.00335221673318	2.69957539332161	2.63236948571466	2.43684705395828	2.71048537358214	2.69277241489881	2.5380536741678	2.47913562000738	2.64360944673007	2.634721254357	3.20498540882261	2.42470082233716	0.807732514898362	0.415327547058457	1.05252579534145	0	0.484785373031282	0
"Akkermansia muciniphila_species_00028"	2.98129474135763	2.81249767534935	2.69752256593136	2.85357584200648	2.5254113885644	3.17518726840985	2.75009613851032	2.62368901675758	3.06433731337403	3.35645605529779	3.15294029577366	3.36185250107875	2.89260486434901	2.5516938626651	2.84031514330638	2.58842816726966	3.32587396290733	3.37308214638452	3.17687284498793	3.01546652385986	1.12451956581156	3.10092921889089
