"F1-10"	"F1-11"	"F1-12"	"F1-13"	"F1-14"	"F1-15"	"F1-16"	"F1-17"	"F1-18"	"F1-19"	"F1-20"	"F1-21"	"F1-22"	"F1-7"	"F1-8"	"F1-9"	"F3-10"	"F3-11"	"F3-12"	"F3-7"	"F3-8"	"F3-9"
"[Ruminococcus] gnavus"	1343704	459729	832151	1104978	471933	126939	34172	97727	101146	13058	118946	32849	76667	1363184	806789	1143695	466501	464999	326099	201896	2474183	584456
"[Ruminococcus] torques"	6267	2760	4974	3325	2023	3590	1665	2840	4790	737	5170	3169	3907	2156	10465	2498	4281	3412	2809	399	3414	5702
"Enterocloster bolteae"	671948	14410	367955	321834	220040	1060959	544221	583845	1715774	507912	1260060	312390	1083544	22087	119608	22330	151069	662110	32696	10379	433933	416302
"Enterocloster clostridioformis"	17533	7919	69728	33389	17429	17771	9241	13986	19893	59964	46757	30561	37037	3642	27547	72238	58223	14650	7368	6775	11162	14471
"Blautia pseudococcoides"	365600	18598	250848	136325	121664	510343	321829	383907	535635	234140	1096490	641188	1681141	25813	134539	11032	153835	174783	59774	28218	732011	133617
"Blautia producta"	53097	5395	38684	24448	19748	69308	36902	47468	63078	28013	132223	72547	186365	5642	26553	3656	21777	24678	8838	4879	87742	25609
"Blautia sp. NBRC 113351"	86761	2892	44875	39048	22949	260990	66838	252791	179711	55552	88877	91298	176154	2549	53468	2706	28194	39293	9618	4327	69029	25180
"Blautia sp. SC05B48"	3753	448	2246	2094	1248	1281	791	1165	1977	463	3173	1425	1754	353	2523	1443	1327	1511	711	354	1535	2070
"Blautia massiliensis"	7613	5179	14468	12987	5877	3421	1452	2773	4088	708	5310	2306	3300	18233	3735	9489	7410	9128	5952	3184	36984	3602
"Blautia argi"	7779	1136	5192	5332	2245	5213	1205	1649	2743	1116	6208	3890	4665	670	6557	2256	2319	1811	1064	659	3095	5418
"Blautia obeum"	13337	962	3540	4816	1871	4195	1799	2556	3724	1265	7234	3612	5060	597	4137	4912	3519	4621	1308	462	2865	3924
"Blautia hansenii"	2886	847	3609	2824	1676	2990	1126	1535	2407	606	4084	2433	3378	626	3112	727	1501	1605	937	443	2305	2275
"Blautia liquoris"	2091	371	2266	1726	1310	1862	704	965	2119	420	3088	1795	2352	249	1362	660	1078	876	485	426	1554	1085
"Lachnoclostridium sp. YL32"	50627	2497	83049	37799	18575	75876	41079	45745	120636	16800	123720	49003	83658	1618	15216	13339	60882	38471	6415	3652	34376	24786
"[Clostridium] scindens"	12113	6626	39238	17066	6545	16378	15653	36636	39585	5249	30657	21690	28437	9442	42127	19402	33646	30174	4156	2719	13638	7838
"Lachnoclostridium phocaeense"	4966	1046	7278	6637	2861	10201	2046	2472	6731	2992	14539	9831	10232	756	8291	1293	4137	4621	2291	1221	3229	6677
"[Clostridium] hylemonae"	3301	1947	6053	4162	2740	5518	22627	58116	56923	156458	390977	146560	186405	1345	7280	1583	5362	4452	1533	891	3421	4462
"Lachnoclostridium phytofermentans"	689	153	1183	839	614	629	275	324	698	166	1613	953	1096	99	533	264	395	390	345	223	509	480
"Anaerostipes caccae"	28964	3376	7172	10998	4280	21268	29696	62888	66196	17614	145932	44840	94497	1516	15154	1850	21747	12252	32461	8669	74698	23427
"Anaerostipes rhamnosivorans"	5555	777	2867	3327	1611	4207	4347	9194	9877	2434	22592	7025	13706	402	3120	605	3736	2365	4226	1454	10962	3969
"Anaerostipes hadrus"	5665	499	2451	2312	1168	1249	626	979	1507	469	4257	1629	1923	1186	2458	2419	1398	1353	1002	446	2894	2196
"Sellimonas intestinalis"	121454	10665	23499	36364	21081	58513	68098	129844	168909	13358	44876	38241	41948	20950	15033	15107	99389	80917	18847	15199	295221	3157
"Lacrimispora sphenoides"	12154	1682	22309	19982	9613	10235	1648	3018	4115	4654	14521	7451	9404	1045	10046	2097	5947	3408	14124	9351	15316	6294
"Lacrimispora saccharolytica"	11380	1523	21972	19694	9068	10086	1295	2848	3155	4709	12925	6880	8280	964	10008	2164	5775	3416	15384	9780	13207	5767
"Roseburia intestinalis"	6871	2046	13263	8986	5572	6415	2773	3983	7679	2196	24127	9079	9166	3292	6048	4535	4980	4891	4672	1360	10075	9588
"Roseburia hominis"	36558	934	5738	11042	3574	7789	2329	3013	5845	1900	15517	7849	11524	522	4271	13868	3146	2758	2209	1008	2491	33579
"Roseburia sp. NSJ-69"	1232	372	1980	1339	837	1910	730	824	1773	356	4669	2173	2982	213	2476	426	1051	870	701	372	1012	3127
"Dorea longicatena"	9973	5307	13104	11600	5808	2778	1104	2312	3193	741	4402	2516	2928	16077	6572	11136	5251	5420	4931	2612	28492	4008
"Coprococcus catus"	9161	1899	6771	7470	2919	3030	795	1322	2364	822	4476	2776	3240	5854	3192	6501	2330	2705	2159	1299	11513	2784
"Coprococcus comes"	2815	1442	4446	3235	1955	3045	1577	2103	3934	796	6377	3549	4047	1738	5591	1582	2473	2276	1933	605	3653	3384
"Coprococcus sp. ART55/1"	5326	183	966	2280	794	2053	542	861	1627	407	3335	1838	2100	107	1091	2502	1112	1449	443	143	1692	1450
"Coprococcus eutactus"	1611	236	929	1359	552	1499	434	691	991	330	3219	1461	1922	101	1731	269	818	876	528	197	1178	1500
"Simiaoa sunii"	3851	903	6540	4687	3066	7136	2390	2545	7396	1685	15618	9404	11211	565	4384	1213	3654	3575	4320	801	2500	4470
"Faecalicatena sp. Marseille-Q4148"	5585	1869	4195	3690	2295	5380	1561	2579	4567	1182	5719	3044	5417	1687	8938	2645	2633	2553	1511	587	4477	7646
"Wansuia hejianensis"	2703	694	5356	4428	2836	5848	1120	3015	3684	2579	5770	4776	4841	852	3423	1111	2955	2743	1893	975	3650	3338
"Qiania dongpingensis"	3342	784	5329	4847	2714	4702	925	1344	2379	1649	5844	3782	4980	591	3895	906	3466	2923	1520	991	3062	2846
"Anaerocolumna chitinilytica"	1326	314	2127	1484	1065	1332	427	539	1131	372	2225	1412	1613	213	1125	416	782	990	577	363	1098	956
"Anaerocolumna sedimenticola"	1106	287	2147	1610	1039	874	280	439	695	300	1660	1010	1046	158	956	408	845	701	673	325	877	862
"Anaerocolumna cellulosilytica"	806	268	1328	820	526	732	260	371	662	225	1365	695	885	149	729	321	541	452	390	223	750	696
