"SRR5865065"	"SRR5865066"	"SRR5865067"	"SRR5865068"	"SRR5865069"	"SRR5865070"	"SRR5865071"	"SRR5865072"	"SRR5865073"	"SRR5865074"	"SRR5865075"	"SRR5865076"	"SRR5865077"	"SRR5865078"	"SRR5865079"	"SRR5865080"	"SRR5865081"	"SRR5865082"	"SRR5865083"	"SRR5865084"	"SRR5865085"	"SRR5865086"	"SRR5865087"	"SRR5865088"	"SRR5865089"	"SRR5865090"	"SRR5865091"	"SRR5865092"	"SRR5865093"	"SRR5865094"	"SRR5865095"	"SRR5865096"	"SRR5865097"	"SRR5865098"	"SRR5865099"	"SRR5865100"	"SRR5865101"	"SRR5865102"	"SRR5865103"	"SRR5865104"	"SRR5865105"	"SRR5865106"	"SRR5865107"	"SRR5865108"	"SRR5865109"	"SRR5865110"	"SRR5865111"	"SRR5865112"	"SRR5865113"	"SRR5865114"	"SRR5865115"	"SRR5865116"	"SRR5865117"	"SRR5865118"	"SRR5865119"	"SRR5865120"	"SRR5865121"	"SRR5865122"	"SRR5865123"	"SRR5865124"	"SRR5865125"	"SRR5865126"	"SRR5865127"	"SRR5865128"	"SRR5865129"	"SRR5865130"	"SRR5865131"	"SRR5865132"	"SRR5865133"	"SRR5865134"	"SRR5865135"
"28-4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38678368258069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Abiotrophia"	0	1.55495382422192	0	0	2.06434216247793	0	2.01199746693152	1.72132648172147	0	0	0	0	1.03497247988553	0	0	1.17244582654822	1.87238104889618	1.41339459380743	0.854393734167063	1.15537838243122	1.56317076898491	1.43042650248653	1.00833375886087	0.878886965819569	0	1.0507835851794	1.43163898397138	0	0	1.26122683586157	0	0.937321994034663	1.69407073799637	1.59576115738395	1.36863581521526	1.58870269901437	0	0	1.23713960873582	1.19231776669702	0	1.33562590657581	1.38141110360664	0.988255217963669	0	0	0	0.993742778002289	1.49844129230135	1.83458405993203	0.8127713522771	2.05095321625213	1.06241547331543	1.09771057451758	1.45543800687742	1.78304523981208	0	1.27382882374757	0	0	0	0	0	2.01162024249627	1.38239868984802	1.37570043862296	2.00647736743359	1.59405039156737	1.25623984554238	0	1.33696399814911
"Acetanaerobacterium"	0	0	0	0	0	0	0	1.08513650425385	0	0	0	0	0	0	0	0	1.25063503936568	0	0	0	0	1.45580618503798	0.717154344548087	0	0	0	0	0	0	0	0	0	1.1076989433913	0	0	0	1.28421478448791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acetatifactor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.662970584837619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acidaminococcus"	0	3.37109572094215	0	0	0	0	0	0	0	1.70047079591598	2.51265333490412	0	3.62776397733577	2.70650519608651	1.80946669516527	1.48758128090069	0	3.52245153886793	0	1.09787741531463	0	0	2.67761621372027	3.69305264533901	1.45028420214191	3.33428768650376	0	0	0	0	0	0	3.17650546518225	3.86760962424202	0	0	1.45271611460666	0	3.8048749082788	2.42592752122647	3.75864374453249	0	1.80078151517257	0	0	2.45196969020219	0	2.06498337810407	2.36573586472835	4.18701142712916	0	0	0	0	0	2.97337403033434	3.79819714114435	0	3.93052226036768	0	0	0	3.14082047691598	0	0	0	0	0	3.6955779855225	0	0
"Acinetobacter"	0.546284017055462	0	0	1.50455898950243	0	0	1.02711743777369	1.36794017522752	0	0	0	0	0	0	1.72160291997375	0	0	1.74549699536884	1.3058512101949	0.80075540333419	0	0.874217818961627	0.875769219170951	0	1.51854922136032	0	0	0	0	0	0	0	0	0	0	0	1.78381840969634	0	0	0	0	0	1.36861070368062	0	0	1.76682265996466	0	0	0.749940980991756	0.474240675558379	0	0	0.560670828453124	0	0	0	0	0	0	0	0	0	1.62136746645915	0	0	0	0	0	0	0	0
"Actinobacillus"	0	0	0	0	0	0	0	0	2.15269885443446	0	0	0	0	0	0	0	0	1.8151765463311	2.25193723732742	0	0	0	0	0	0	0	0	0	0	0	0	1.63456311591275	0	0	0	0	0	0	0	1.51032767137197	0	0	2.08857132945047	2.83692664996979	0	0	0	0	0	0	0	2.21086862055132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Actinomyces"	1.34207778468326	1.30925600065897	1.0111113015197	1.2002788742938	1.68274776429532	0	2.11257408713166	1.28203802249008	1.15324577558611	1.44785848182161	0.585140717477111	1.15892097188778	1.51818997348706	1.00377341068493	1.08182139033217	1.42760210101573	0	1.99364408022259	1.71390541873258	0	0	0	0.897369111681935	1.50327152220222	1.70418618180086	0	0	1.92391456915374	1.47071303369135	0.697265952642151	0	1.12843654806351	1.89749056891605	1.82634257950904	1.33541965398894	0.847952248578579	1.89778378365049	0	1.61402869043971	1.59227546286002	0	1.19744551686495	0.972562962335012	0	0	0	0	1.20565963785097	1.53507975029348	1.20006368865707	1.30626548856128	1.51998864075793	1.13106878828835	1.65486684386939	0	0	0	0	0	0	1.01937256372901	0	0	1.45027970565626	0	0	0	1.88951515142737	0.824779444240638	0	0
"Adlercreutzia"	0	0	0	0	0	1.32599103658674	0	0	0	0	0	0	1.51818997348706	0	0	0	0	0	1.64404554822064	0	0	0	1.78905505938809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07521550473949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aeromonas"	0	0	0	1.4314191977937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44579977730619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13605394099299	0	0	0	0	0	0	0	2.3091864588178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03568549266861	3.73719604860258	0	0	0	0	0	0	0	0	0
