"Sample1"	"Sample10"	"Sample11"	"Sample12"	"Sample13"	"Sample14"	"Sample15"	"Sample16"	"Sample17"	"Sample18"	"Sample19"	"Sample2"	"Sample20"	"Sample21"	"Sample22"	"Sample23"	"Sample24"	"Sample25"	"Sample26"	"Sample27"	"Sample28"	"Sample29"	"Sample3"	"Sample30"	"Sample31"	"Sample32"	"Sample33"	"Sample34"	"Sample35"	"Sample36"	"Sample37"	"Sample38"	"Sample39"	"Sample4"	"Sample40"	"Sample41"	"Sample42"	"Sample43"	"Sample44"	"Sample45"	"Sample46"	"Sample47"	"Sample48"	"Sample49"	"Sample5"	"Sample50"	"Sample51"	"Sample52"	"Sample53"	"Sample54"	"Sample55"	"Sample56"	"Sample57"	"Sample58"	"Sample59"	"Sample6"	"Sample60"	"Sample61"	"Sample7"	"Sample8"	"Sample9"
"Actinomyces"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96002855629365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Adlercreutzia"	0	0	0	0	0	0	0	0	2.9013845161375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agathobacter"	0	0	0	0	0	3.76517356791539	0	0	0	0	0	3.62627531970485	0	0	0	0	4.19799410762427	0	0	0	0	0	3.9648357689432	0	0	0	0	0	0	0	0	3.94620593038323	0	0	0	3.9531220371951	0	0	0	0	0	3.9917199424169	0	0	0	0	0	0	3.85923163557017	3.81195801680684	0	0	0	0	0	0	0	0	0	0	0
"Akkermansia"	0	3.61281358419475	3.95293172203242	0	0	1.89870436741738	3.7876197517347	3.72170427277553	4.06855866980518	0	0	0	3.58615437259128	0	3.63092146615784	0	0	0	3.96826957244874	0	2.70984126242166	3.8435552139663	0	0	2.33745325934157	3.58363207417	0	0	0	2.82817609747568	0	0	0	3.99748445381902	0	0	0	0	0	0	0	0	0	3.07576077245307	0	0	0	0	3.10777345339133	0	0	0	3.55071456985123	3.57981089015236	0	0	0	0	3.60661683987176	3.11191944393056	3.77109215811805
"Alistipes"	3.07010712531766	0	1.82372114506685	0	0	0	3.15963138459876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.68098897010992	3.25585618124865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.61454726226602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alloprevotella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.23680337071263	0	0	0	0	0	0	0	0	0
"Alloscardovia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.97463146181694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anaerostipes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.68235352579395	0	0	0	0	0	0	0	0	3.71802177295865	2.4462328709675	0	0	3.74374230060268	0	0	0	0	0	2.7938733342014	0	0	2.92870928322864	3.25099400304854	0	3.2093877540309	0	0	0	0	3.24732797957813	0	0	0	0	0	0	0	0	3.15783643223174	0	0	0	0
"Atopobium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.967053055017681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteroides"	3.72567975925508	0	3.67627170152616	0	0	0	3.87913287609658	3.84302979365266	0	2.47085227019271	0	0	0	3.73909533592932	4.05721116613955	0	3.62274182036727	3.19764271223427	3.49826328562644	0	3.20079737385602	0	3.71017044891144	0	0	3.29127372989439	0	2.37162290968207	3.67851861473031	0	0	0	0	0	0	2.78722445340051	0	3.56289305855249	0	2.91089795701106	0	2.97023104872028	0	0	3.62556379363489	3.03519977041242	3.81142075138675	0	0	3.64026768026814	0	3.47911677933879	3.16358784723304	3.96109149213922	0	3.99853932919656	0	0	3.48542067713525	3.83316878254192	0
