"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"1174-901-12"	0	0	0	0	0	0	2.80515139123755	2.77570393923674	0	0	2.85158557905686	2.68721921493295	3.05313459727169	2.60511137319679	0	0	0	0	0	0	0	0	0	0	0	0	0
"1921-3"	0	0	0	0	0	0	0	0	0	0	2.95362258762018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Achromobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7304658460386	0	2.6337393065164	0	0	0	0	2.35069027506264	0	0	0	0	0	0
"Acidibacter"	2.85100665687384	2.74590392239279	2.78777190700349	0	0	2.78040471225958	2.76573220246966	2.83066484043264	2.85832245938995	2.73004166293831	2.83574411087399	2.73834700920119	3.00125148064398	2.29407767457975	2.90935843440113	2.64532270135993	0	0	2.78812363907802	0	2.8000610267751	0	0	0	0	2.62219895267435	0
"Acidicapsa"	0	0	0	0	0	0	0	0	3.13560658240493	3.1034764173112	0	0	0	0	3.09464669927392	0	0	0	0	0	0	0	0	0	0	0	0
"Acidipila"	3.54881309843356	3.13832784180065	0	0	0	0	0	0	0	0	0	0	0	3.0831124073191	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acidothermus"	3.4824762435264	3.23726071366245	0	3.1548670972793	3.17741972728064	3.16509203388955	3.32615620327215	3.54061114674003	3.67801497663648	3.3475904886383	3.492307541863	3.10824808557616	3.36364889572016	3.08855086681392	3.36051358744835	0	3.01299519738411	2.95968486195139	2.88666543853617	2.95556246151041	3.03867947957088	2.87016466869343	3.00329457159825	2.85998113655824	2.93220461758087	3.03272820967447	2.89144224855432
"Acidovorax"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.60396121734266	0	0	0
"Acinetobacter"	0	0	0	0	0	0	0	0	0	0	1.65282950125759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Actinoallomurus"	0	0	2.82085559047371	2.85529598693246	2.76168408468294	2.68898323714588	2.60061339201111	2.66456021624209	0	2.66392354054297	2.5864136714116	2.68385691252182	2.82662675193002	0	2.79608758545866	2.73257757048604	2.69503830135422	2.69793859821206	2.85114525702171	2.78124374543502	2.72330787493515	2.73274004633575	2.69617755524994	2.67261689339381	2.74699323631988	0	2.6754782988822
"Actinoalloteichus"	0	2.92613909767386	3.16830932397546	0	0	0	2.9326227695142	2.8661294753065	3.02427083490992	2.72344184467031	2.85906315209032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
