"SRR5865065"	"SRR5865066"	"SRR5865067"	"SRR5865068"	"SRR5865069"	"SRR5865070"	"SRR5865071"	"SRR5865072"	"SRR5865073"	"SRR5865074"	"SRR5865075"	"SRR5865076"	"SRR5865077"	"SRR5865078"	"SRR5865079"	"SRR5865080"	"SRR5865081"	"SRR5865082"	"SRR5865083"	"SRR5865084"	"SRR5865085"	"SRR5865086"	"SRR5865087"	"SRR5865088"	"SRR5865089"	"SRR5865090"	"SRR5865091"	"SRR5865092"	"SRR5865093"	"SRR5865094"	"SRR5865095"	"SRR5865096"	"SRR5865097"	"SRR5865098"	"SRR5865099"	"SRR5865100"	"SRR5865101"	"SRR5865102"	"SRR5865103"	"SRR5865104"	"SRR5865105"	"SRR5865106"	"SRR5865107"	"SRR5865108"	"SRR5865109"	"SRR5865110"	"SRR5865111"	"SRR5865112"	"SRR5865113"	"SRR5865114"	"SRR5865115"	"SRR5865116"	"SRR5865117"	"SRR5865118"	"SRR5865119"	"SRR5865120"	"SRR5865121"	"SRR5865122"	"SRR5865123"	"SRR5865124"	"SRR5865125"	"SRR5865126"	"SRR5865127"	"SRR5865128"	"SRR5865129"	"SRR5865130"	"SRR5865131"	"SRR5865132"	"SRR5865133"	"SRR5865134"	"SRR5865135"
"28-4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Abiotrophia"	0	27	0	0	156	0	95	37	0	0	0	0	8	0	0	14	35	36	8	15	17	16	24	10	0	8	15	0	0	13	0	8	41	32	13	25	0	0	15	13	0	28	33	11	0	0	0	10	33	68	8	118	16	12	14	35	0	11	0	0	0	0	0	86	17	18	56	29	12	0	16
"Acetanaerobacterium"	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	8	0	0	0	0	17	11	0	0	0	0	0	0	0	0	0	10	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acetatifactor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acidaminococcus"	0	1818	0	0	0	0	0	0	0	80	342	0	3450	447	86	30	0	4812	0	13	0	0	1240	7510	17	1686	0	0	0	0	0	0	1270	6139	0	0	27	0	5884	237	3696	0	89	0	0	383	0	130	250	15535	0	0	0	0	0	551	3560	0	4218	0	0	0	948	0	0	0	0	0	3493	0	0
"Acinetobacter"	3	0	0	25	0	0	9	16	0	0	0	0	0	0	70	0	0	79	25	6	0	4	17	0	20	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	32	0	0	78	0	0	5	2	0	0	4	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0
"Actinobacillus"	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	93	231	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	28	0	0	174	864	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Actinomyces"	25	15	9	12	64	0	120	13	9	44	3	9	26	8	15	26	0	141	66	0	0	0	18	47	31	0	0	181	123	3	0	13	66	55	12	4	77	0	37	34	0	20	12	0	0	0	0	17	36	15	28	34	19	46	0	0	0	0	0	0	16	0	0	23	0	0	0	58	4	0	0
"Adlercreutzia"	0	0	0	0	0	16	0	0	0	0	0	0	26	0	0	0	0	0	56	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Aeromonas"	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	4606	0	0	0	0	0	0	0	0	0
"Agathobacter"	4685	1817	14656	791	1161	991	803	12419	1288	5587	1950	4402	1507	1010	1262	2253	2121	4334	1571	15146	3420	420	17243	12728	20937	3798	3369	4665	29932	1402	169	6831	5726	3115	10268	4600	5371	4498	620	3195	1710	9695	13701	415	736	4588	3504	5623	7448	15796	2667	14137	20779	4719	12240	4525	5970	10785	1377	4171	1318	293	6466	4871	21172	11424	5106	11616	2192	1303	10582
"Aggregatibacter"	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	22	0	0	0	4	0	0	0	0	58	14	0	0	159	0	0	0	0	0	0	0	0	0	216	187	0	0	0	0	0	0	0	0	91	11	0	0	0	0	0	23	0	0	9	0	0	0	0	0	0	0	0	0
"Akkermansia"	1242	1757	106	6454	13709	125	143	64	0	810	39222	144	26	34	38435	43913	51	57	6982	80	54	1429	6347	51	0	670	2139	11444	72992	131	109	3708	116	4407	820	4270	78	49	37772	18378	46	947	364	2510	77	50	161	65	75	43	2786	260	123	10362	33	191	675	857	344	15	13428	1605	99	113	133	125	866	4908	765	51	5596
"Alcaligenes"	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alistipes"	3113	609	5553	989	622	182	226	2177	39	2230	5465	38	1734	558	2597	8610	191	4187	4138	36	446	2249	10504	1273	1124	2366	1366	13293	192	72	18182	3491	8984	3613	649	1647	607	957	1657	2964	128	211	299	450	220	106	3861	1189	1732	5897	4808	473	4100	6883	233	165	1595	654	1455	3351	131	287	2502	151	1164	1889	1757	436	496	669	3259
"Allisonella"	234	84	0	70	0	155	0	180	0	91	26	0	77	401	797	0	29	2092	133	0	12	10	351	629	0	0	0	0	0	0	0	0	32	346	0	37	69	575	0	119	59	538	490	1723	490	637	0	107	190	166	0	0	0	0	0	0	57	0	0	455	0	138	0	1249	17	0	0	0	62	0	0
"Allobaculum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alloprevotella"	33	0	45	646	135	3288	46	0	36	9087	12	0	0	8082	41	22	65	9413	7	0	0	0	2147	31	57	14	22	272	209	5044	0	0	6421	47	17	351	5351	11165	1593	117	5804	58	24	0	12388	0	0	5712	14707	20	1700	91	19	0	0	62	5149	34	0	0	0	0	22	2325	2655	30	1123	3	25	243	0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alloscardovia"	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
