"Sample1"	"Sample10"	"Sample11"	"Sample12"	"Sample13"	"Sample14"	"Sample15"	"Sample16"	"Sample17"	"Sample18"	"Sample19"	"Sample2"	"Sample20"	"Sample21"	"Sample22"	"Sample23"	"Sample24"	"Sample25"	"Sample26"	"Sample27"	"Sample28"	"Sample29"	"Sample3"	"Sample30"	"Sample31"	"Sample32"	"Sample33"	"Sample34"	"Sample35"	"Sample36"	"Sample37"	"Sample38"	"Sample39"	"Sample4"	"Sample40"	"Sample41"	"Sample42"	"Sample43"	"Sample44"	"Sample45"	"Sample46"	"Sample47"	"Sample48"	"Sample49"	"Sample5"	"Sample50"	"Sample51"	"Sample52"	"Sample53"	"Sample54"	"Sample55"	"Sample56"	"Sample57"	"Sample58"	"Sample59"	"Sample6"	"Sample60"	"Sample61"	"Sample7"	"Sample8"	"Sample9"
"Actinomyces"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Adlercreutzia"	0	0	0	0	0	0	0	0	817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Agathobacter"	0	0	0	0	0	1787	0	0	0	0	0	5716	0	0	0	0	20288	0	0	0	0	0	5943	0	0	0	0	0	0	0	0	9574	0	0	0	13383	0	0	0	0	0	18395	0	0	0	0	0	0	8994	11326	0	0	0	0	0	0	0	0	0	0	0
"Akkermansia"	0	1672	8748	0	0	24	6364	5674	12020	0	0	0	6104	0	3387	0	0	0	9384	0	415	4050	0	0	408	2963	0	0	0	541	0	0	0	7009	0	0	0	0	0	0	0	0	0	1840	0	0	0	0	1593	0	0	0	4779	5090	0	0	0	0	4976	1137	4538
"Alistipes"	1090	0	64	0	0	0	1498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Alloprevotella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2214	0	0	0	0	0	0	0	0	0
"Alloscardovia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anaerostipes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4227	0	0	0	0	0	0	0	0	6134	101	0	0	4067	0	0	0	0	0	680	0	0	1044	2241	0	2434	0	0	0	0	1561	0	0	0	0	0	0	0	0	1898	0	0	0	0
"Atopobium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteroides"	4935	0	4626	0	0	0	7857	7503	0	299	0	0	0	4258	9040	0	5394	1384	3179	0	1287	0	3306	0	0	1511	0	85	2734	0	0	0	0	0	0	912	0	1863	0	1002	0	1749	0	0	2721	2348	12887	0	0	7627	0	3869	1959	12248	0	13630	0	0	3764	5988	0
"Barnesiella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487
"Bifidobacterium"	0	0	0	2322	0	1375	0	0	0	2276	0	909	0	0	450	0	0	4560	382	137	1732	0	0	1384	10073	0	0	0	0	0	0	0	1303	0	1747	0	0	0	0	21920	21990	0	0	1982	3626	3043	0	2766	10515	4100	0	0	0	0	0	2777	0	0	0	7656	0
"Bilophila"	141	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Blautia"	0	0	0	0	2048	0	0	0	0	0	0	0	0	10903	0	0	0	0	3960	0	3527	0	0	0	13955	0	9901	0	0	0	0	0	0	0	0	0	7661	4458	0	4611	0	0	10902	17568	0	20206	0	4358	0	0	9765	0	0	0	16623	0	17179	24313	9866	0	5821
"Butyricicoccus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	950	0	0	0	0	0	0	0	0
"Butyricimonas"	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catabacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Catenibacterium"	0	0	0	0	0	475	0	0	0	0	0	0	1775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	596	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3587	0	0	0	0	0	0
"Christensenellaceae_R-7_group"	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clostridium_sensu_stricto_1"	0	0	0	0	0	0	0	0	0	0	1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0
"Collinsella"	1173	5479	3298	2322	0	1881	1183	0	0	3686	1251	3585	5579	0	0	6479	1945	5710	2497	837	3774	0	0	0	0	0	2327	1347	0	0	0	0	2665	0	4061	0	10129	2487	0	0	5764	4840	5061	4892	3164	6662	1642	3391	2609	4047	4104	0	0	0	3139	1923	3483	8181	1828	4347	5922
"Coprococcus_1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coprococcus_3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5556	0	0	0	0	0	0	0	0
"Dialister"	0	0	0	0	0	0	0	0	2849	0	0	0	0	0	0	0	0	823	1653	0	0	0	0	0	3125	0	0	720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2763	0	0	0	0
"Dorea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1521	0	0	0	0	0	0	0	2180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eggerthella"	0	0	0	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3526	0	0	1137	1041	0	0	0	0	0	2430	0	0	0	0	0	0	0	0	0	0	0	0	0	1160	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0
"Eisenbergiella"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2323	0	0	0	0	0	0	0	0	0	0	0	0
"Erysipelatoclostridium"	0	0	0	0	0	0	0	0	861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Erysipelotrichaceae_UCG-003"	0	0	0	422	0	0	947	0	0	0	0	0	0	0	0	2103	0	0	0	0	0	1155	0	2144	1107	0	3232	0	0	0	0	0	396	0	0	0	2350	0	0	0	0	0	0	5933	0	1441	0	717	0	0	642	0	1561	0	0	0	1442	0	0	251	0
"Escherichia/Shigella"	1427	0	0	0	13058	0	0	0	0	0	14023	0	10330	0	0	0	0	0	0	0	0	0	0	0	5638	0	0	0	0	0	0	0	76	0	0	0	0	0	0	408	0	0	12126	2638	0	0	11076	0	0	0	0	0	0	4684	0	0	0	0	0	1265	0
"Eubacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Faecalibacterium"	1055	0	1469	0	0	0	0	0	0	7336	1237	0	0	0	0	0	3151	1908	0	0	0	0	3408	0	0	0	5599	0	3674	0	0	0	0	0	1411	14453	0	0	0	0	0	0	0	0	0	6663	0	9885	4320	8409	0	2574	9071	0	0	0	0	0	4728	1767	0
"Faecalitalea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Family_XIII_AD3011_group"	0	0	0	0	0	0	0	0	0	0	0	0	540	0	0	0	0	0	0	0	474	625	0	0	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2080	0	0	0	0	0
"Flavonifractor"	0	0	0	656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
