"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"1174-901-12"	0	0	0	0	0	0	840	703	0	0	920	647	976	632	0	0	0	0	0	0	0	0	0	0	0	0	0
"1921-3"	0	0	0	0	0	0	0	0	0	0	1164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Achromobacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	844	0	406	0	0	0	0	214	0	0	0	0	0	0
"Acidibacter"	516	588	391	0	0	426	767	798	618	728	887	728	866	308	931	417	0	0	537	0	604	0	0	0	0	414	0
"Acidicapsa"	0	0	0	0	0	0	0	0	1171	1722	0	0	0	0	1427	0	0	0	0	0	0	0	0	0	0	0	0
"Acidipila"	2576	1453	0	0	0	0	0	0	0	0	0	0	0	1903	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acidothermus"	2211	1825	0	1125	1348	1034	2791	4097	4085	3022	4027	1708	1996	1927	2633	0	1045	854	674	565	1047	740	804	778	935	1067	729
"Acidovorax"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431	0	0	0
"Acinetobacter"	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Actinoallomurus"	0	0	422	564	517	345	524	544	0	625	499	642	579	0	717	510	502	467	621	378	506	539	396	505	610	0	443
"Actinoalloteichus"	0	891	940	0	0	0	1127	866	906	717	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Actinomadura"	0	0	0	0	0	0	0	0	0	855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Actinomycetospora"	0	225	211	0	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Adhaeribacter"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	59	0	0	0	0	0	0	0	0
"ADurb.Bin063-1"	0	572	0	729	773	567	562	0	0	0	606	528	428	0	566	0	0	0	545	0	0	558	0	705	0	626	0
"AKYG587"	0	0	0	137	129	0	0	0	0	0	0	0	0	0	0	0	168	201	150	124	198	174	158	194	165	200	163
"Alicyclobacillus"	0	0	124	0	0	0	245	0	85	126	189	178	151	0	0	68	0	0	0	0	0	0	0	0	0	0	0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"	0	0	0	0	0	0	0	790	0	2597	14	1371	0	76380	0	39914	348	851	574	0	642	0	504	614	499	0	0
"Ammoniibacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	988	0	0	0	0	0
"Ammoniphilus"	400	576	423	0	0	197	568	412	340	355	435	467	0	0	471	0	0	0	0	590	0	0	594	0	805	597	0
"Amycolatopsis"	0	660	737	0	0	0	0	0	0	0	593	632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anaerobacillus"	0	0	0	550	634	402	0	0	0	0	0	0	0	0	0	0	843	771	709	0	563	766	481	587	716	641	636
"Anaerocolumna"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	262	0	0	270
"Anaerolinea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	79	185	0
"Anaeromyxobacter"	323	552	322	207	165	0	487	580	326	592	472	459	328	149	496	272	136	0	139	120	143	0	0	253	0	118	214
"Anoxybacillus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0
"Aquicella"	0	0	0	0	290	237	123	0	0	0	0	149	176	0	159	0	320	393	454	285	358	385	0	431	440	315	0
"Aquisphaera"	719	724	0	0	0	0	0	0	0	0	972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
