ID	Sample
SRR5865065	Post
SRR5865066	Post
SRR5865067	Pre
SRR5865068	Post
SRR5865069	Pre
SRR5865070	Pre
SRR5865071	Post
SRR5865072	Pre
SRR5865073	Post
SRR5865074	Post
SRR5865075	Post
SRR5865076	Post
SRR5865077	Pre
SRR5865078	Post
SRR5865079	Post
SRR5865080	Post
SRR5865081	Pre
SRR5865082	Post
SRR5865083	Post
SRR5865084	Pre
SRR5865085	Pre
SRR5865086	Post
SRR5865087	Post
SRR5865088	Pre
SRR5865089	Post
SRR5865090	Post
SRR5865091	Post
SRR5865092	Post
SRR5865093	Post
SRR5865094	Post
SRR5865095	Post
SRR5865096	Post
SRR5865097	Post
SRR5865098	Post
SRR5865099	Post
SRR5865100	Pre
SRR5865101	Post
SRR5865102	Pre
SRR5865103	Post
SRR5865104	Post
SRR5865105	Pre
SRR5865106	Post
SRR5865107	Post
SRR5865108	Post
SRR5865109	Post
SRR5865110	Pre
SRR5865111	Pre
SRR5865112	Post
SRR5865113	Post
SRR5865114	Pre
SRR5865115	Post
SRR5865116	Post
SRR5865117	Pre
SRR5865118	Post
SRR5865119	Pre
SRR5865120	Pre
SRR5865121	Pre
SRR5865122	Post
SRR5865123	Post
SRR5865124	Post
SRR5865125	Post
SRR5865126	Post
SRR5865127	Pre
SRR5865128	Pre
SRR5865129	Pre
SRR5865130	Pre
SRR5865131	Post
SRR5865132	Post
SRR5865133	Pre
SRR5865134	Post
SRR5865135	Pre
